method,seed,epoch_eff,split,acc
scratch_t2,42,0.000000,T1_all,0.123250
scratch_t2,42,0.000000,T2_nonshortcut_normal,0.162667
scratch_t2,42,0.000000,T2_shortcut_masked,0.000000
scratch_t2,42,0.000000,T2_shortcut_normal,0.326000
scratch_t2,42,1.000000,T1_all,0.091250
scratch_t2,42,1.000000,T2_nonshortcut_normal,0.164667
scratch_t2,42,1.000000,T2_shortcut_masked,0.000000
scratch_t2,42,1.000000,T2_shortcut_normal,0.282000
scratch_t2,42,2.000000,T1_all,0.148750
scratch_t2,42,2.000000,T2_nonshortcut_normal,0.224667
scratch_t2,42,2.000000,T2_shortcut_masked,0.000000
scratch_t2,42,2.000000,T2_shortcut_normal,0.274000
scratch_t2,42,3.000000,T1_all,0.193250
scratch_t2,42,3.000000,T2_nonshortcut_normal,0.285333
scratch_t2,42,3.000000,T2_shortcut_masked,0.000000
scratch_t2,42,3.000000,T2_shortcut_normal,0.278000
scratch_t2,42,4.000000,T1_all,0.185750
scratch_t2,42,4.000000,T2_nonshortcut_normal,0.280000
scratch_t2,42,4.000000,T2_shortcut_masked,0.000000
scratch_t2,42,4.000000,T2_shortcut_normal,0.242000
scratch_t2,42,5.000000,T1_all,0.187500
scratch_t2,42,5.000000,T2_nonshortcut_normal,0.230667
scratch_t2,42,5.000000,T2_shortcut_masked,0.000000
scratch_t2,42,5.000000,T2_shortcut_normal,0.286000
scratch_t2,42,6.000000,T1_all,0.253000
scratch_t2,42,6.000000,T2_nonshortcut_normal,0.339333
scratch_t2,42,6.000000,T2_shortcut_masked,0.000000
scratch_t2,42,6.000000,T2_shortcut_normal,0.218000
scratch_t2,42,7.000000,T1_all,0.214750
scratch_t2,42,7.000000,T2_nonshortcut_normal,0.264000
scratch_t2,42,7.000000,T2_shortcut_masked,0.002000
scratch_t2,42,7.000000,T2_shortcut_normal,0.286000
scratch_t2,42,8.000000,T1_all,0.177000
scratch_t2,42,8.000000,T2_nonshortcut_normal,0.314000
scratch_t2,42,8.000000,T2_shortcut_masked,0.000000
scratch_t2,42,8.000000,T2_shortcut_normal,0.302000
scratch_t2,42,9.000000,T1_all,0.244000
scratch_t2,42,9.000000,T2_nonshortcut_normal,0.395333
scratch_t2,42,9.000000,T2_shortcut_masked,0.000000
scratch_t2,42,9.000000,T2_shortcut_normal,0.334000
scratch_t2,42,10.000000,T1_all,0.224750
scratch_t2,42,10.000000,T2_nonshortcut_normal,0.354667
scratch_t2,42,10.000000,T2_shortcut_masked,0.000000
scratch_t2,42,10.000000,T2_shortcut_normal,0.330000
scratch_t2,42,11.000000,T1_all,0.215500
scratch_t2,42,11.000000,T2_nonshortcut_normal,0.311333
scratch_t2,42,11.000000,T2_shortcut_masked,0.000000
scratch_t2,42,11.000000,T2_shortcut_normal,0.402000
scratch_t2,42,12.000000,T1_all,0.249500
scratch_t2,42,12.000000,T2_nonshortcut_normal,0.243333
scratch_t2,42,12.000000,T2_shortcut_masked,0.002000
scratch_t2,42,12.000000,T2_shortcut_normal,0.362000
scratch_t2,42,13.000000,T1_all,0.232750
scratch_t2,42,13.000000,T2_nonshortcut_normal,0.383333
scratch_t2,42,13.000000,T2_shortcut_masked,0.000000
scratch_t2,42,13.000000,T2_shortcut_normal,0.356000
scratch_t2,42,14.000000,T1_all,0.266500
scratch_t2,42,14.000000,T2_nonshortcut_normal,0.350000
scratch_t2,42,14.000000,T2_shortcut_masked,0.000000
scratch_t2,42,14.000000,T2_shortcut_normal,0.376000
scratch_t2,42,15.000000,T1_all,0.142000
scratch_t2,42,15.000000,T2_nonshortcut_normal,0.324000
scratch_t2,42,15.000000,T2_shortcut_masked,0.210000
scratch_t2,42,15.000000,T2_shortcut_normal,0.254000
scratch_t2,42,16.000000,T1_all,0.208000
scratch_t2,42,16.000000,T2_nonshortcut_normal,0.168667
scratch_t2,42,16.000000,T2_shortcut_masked,0.000000
scratch_t2,42,16.000000,T2_shortcut_normal,0.344000
scratch_t2,42,17.000000,T1_all,0.267250
scratch_t2,42,17.000000,T2_nonshortcut_normal,0.399333
scratch_t2,42,17.000000,T2_shortcut_masked,0.010000
scratch_t2,42,17.000000,T2_shortcut_normal,0.418000
