method,seed,epoch_eff,split,acc
ewc_on,42,0.0,T1_all,0.1975
ewc_on,42,0.0,T1_all,0.394
ewc_on,42,0.0,T2_nonshortcut_normal,0.352
ewc_on,42,0.0,T2_nonshortcut_normal,0.5306666666666666
ewc_on,42,0.0,T2_shortcut_masked,0.004
ewc_on,42,0.0,T2_shortcut_masked,0.006
ewc_on,42,0.0,T2_shortcut_normal,0.324
ewc_on,42,0.0,T2_shortcut_normal,0.536
ewc_on,42,1.0,T1_all,0.13775
ewc_on,42,1.0,T1_all,0.393
ewc_on,42,1.0,T2_nonshortcut_normal,0.182
ewc_on,42,1.0,T2_nonshortcut_normal,0.48333333333333334
ewc_on,42,1.0,T2_shortcut_masked,0.002
ewc_on,42,1.0,T2_shortcut_masked,0.008
ewc_on,42,1.0,T2_shortcut_normal,0.22
ewc_on,42,1.0,T2_shortcut_normal,0.512
ewc_on,42,2.0,T1_all,0.20625
ewc_on,42,2.0,T1_all,0.39975
ewc_on,42,2.0,T2_nonshortcut_normal,0.28933333333333333
ewc_on,42,2.0,T2_nonshortcut_normal,0.506
ewc_on,42,2.0,T2_shortcut_masked,0.0
ewc_on,42,2.0,T2_shortcut_masked,0.046
ewc_on,42,2.0,T2_shortcut_normal,0.312
ewc_on,42,2.0,T2_shortcut_normal,0.472
ewc_on,42,3.0,T1_all,0.23775
ewc_on,42,3.0,T1_all,0.362
ewc_on,42,3.0,T2_nonshortcut_normal,0.36666666666666664
ewc_on,42,3.0,T2_nonshortcut_normal,0.5106666666666667
ewc_on,42,3.0,T2_shortcut_masked,0.0
ewc_on,42,3.0,T2_shortcut_masked,0.004
ewc_on,42,3.0,T2_shortcut_normal,0.394
ewc_on,42,3.0,T2_shortcut_normal,0.516
ewc_on,42,4.0,T1_all,0.2565
ewc_on,42,4.0,T1_all,0.41475
ewc_on,42,4.0,T2_nonshortcut_normal,0.3973333333333333
ewc_on,42,4.0,T2_nonshortcut_normal,0.558
ewc_on,42,4.0,T2_shortcut_masked,0.0
ewc_on,42,4.0,T2_shortcut_masked,0.04
ewc_on,42,4.0,T2_shortcut_normal,0.382
ewc_on,42,4.0,T2_shortcut_normal,0.518
ewc_on,42,5.0,T1_all,0.29725
ewc_on,42,5.0,T1_all,0.42125
ewc_on,42,5.0,T2_nonshortcut_normal,0.4846666666666667
ewc_on,42,5.0,T2_nonshortcut_normal,0.558
ewc_on,42,5.0,T2_shortcut_masked,0.0
ewc_on,42,5.0,T2_shortcut_masked,0.042
ewc_on,42,5.0,T2_shortcut_normal,0.444
ewc_on,42,5.0,T2_shortcut_normal,0.524
ewc_on,42,6.0,T1_all,0.324
ewc_on,42,6.0,T1_all,0.4205
ewc_on,42,6.0,T2_nonshortcut_normal,0.43066666666666664
ewc_on,42,6.0,T2_nonshortcut_normal,0.566
ewc_on,42,6.0,T2_shortcut_masked,0.004
ewc_on,42,6.0,T2_shortcut_masked,0.04
ewc_on,42,6.0,T2_shortcut_normal,0.456
ewc_on,42,6.0,T2_shortcut_normal,0.522
ewc_on,42,7.0,T1_all,0.32075
ewc_on,42,7.0,T1_all,0.421
ewc_on,42,7.0,T2_nonshortcut_normal,0.4726666666666667
ewc_on,42,7.0,T2_nonshortcut_normal,0.566
ewc_on,42,7.0,T2_shortcut_masked,0.0
ewc_on,42,7.0,T2_shortcut_masked,0.04
ewc_on,42,7.0,T2_shortcut_normal,0.402
ewc_on,42,7.0,T2_shortcut_normal,0.522
ewc_on,42,8.0,T1_all,0.373
ewc_on,42,8.0,T1_all,0.42025
ewc_on,42,8.0,T2_nonshortcut_normal,0.49133333333333334
ewc_on,42,8.0,T2_nonshortcut_normal,0.5633333333333334
ewc_on,42,8.0,T2_shortcut_masked,0.0
ewc_on,42,8.0,T2_shortcut_masked,0.04
ewc_on,42,8.0,T2_shortcut_normal,0.448
ewc_on,42,8.0,T2_shortcut_normal,0.522
ewc_on,42,9.0,T1_all,0.374
ewc_on,42,9.0,T1_all,0.42
ewc_on,42,9.0,T2_nonshortcut_normal,0.45266666666666666
ewc_on,42,9.0,T2_nonshortcut_normal,0.5633333333333334
ewc_on,42,9.0,T2_shortcut_masked,0.0
ewc_on,42,9.0,T2_shortcut_masked,0.038
ewc_on,42,9.0,T2_shortcut_normal,0.43
ewc_on,42,9.0,T2_shortcut_normal,0.526
ewc_on,42,10.0,T1_all,0.34325
ewc_on,42,10.0,T1_all,0.42025
ewc_on,42,10.0,T2_nonshortcut_normal,0.48333333333333334
ewc_on,42,10.0,T2_nonshortcut_normal,0.566
ewc_on,42,10.0,T2_shortcut_masked,0.004
ewc_on,42,10.0,T2_shortcut_masked,0.04
ewc_on,42,10.0,T2_shortcut_normal,0.49
ewc_on,42,10.0,T2_shortcut_normal,0.524
ewc_on,42,11.0,T1_all,0.33925
ewc_on,42,11.0,T1_all,0.4205
ewc_on,42,11.0,T2_nonshortcut_normal,0.502
ewc_on,42,11.0,T2_nonshortcut_normal,0.566
ewc_on,42,11.0,T2_shortcut_masked,0.004
ewc_on,42,11.0,T2_shortcut_masked,0.042
ewc_on,42,11.0,T2_shortcut_normal,0.472
ewc_on,42,11.0,T2_shortcut_normal,0.524
ewc_on,42,12.0,T1_all,0.36375
ewc_on,42,12.0,T1_all,0.41925
ewc_on,42,12.0,T2_nonshortcut_normal,0.5086666666666667
ewc_on,42,12.0,T2_nonshortcut_normal,0.566
ewc_on,42,12.0,T2_shortcut_masked,0.006
ewc_on,42,12.0,T2_shortcut_masked,0.042
ewc_on,42,12.0,T2_shortcut_normal,0.416
ewc_on,42,12.0,T2_shortcut_normal,0.526
ewc_on,42,13.0,T1_all,0.3815
ewc_on,42,13.0,T1_all,0.42025
ewc_on,42,13.0,T2_nonshortcut_normal,0.49666666666666665
ewc_on,42,13.0,T2_nonshortcut_normal,0.564
ewc_on,42,13.0,T2_shortcut_masked,0.006
ewc_on,42,13.0,T2_shortcut_masked,0.042
ewc_on,42,13.0,T2_shortcut_normal,0.474
ewc_on,42,13.0,T2_shortcut_normal,0.526
ewc_on,42,14.0,T1_all,0.37125
ewc_on,42,14.0,T1_all,0.41975
ewc_on,42,14.0,T2_nonshortcut_normal,0.4653333333333333
ewc_on,42,14.0,T2_nonshortcut_normal,0.562
ewc_on,42,14.0,T2_shortcut_masked,0.002
ewc_on,42,14.0,T2_shortcut_masked,0.042
ewc_on,42,14.0,T2_shortcut_normal,0.474
ewc_on,42,14.0,T2_shortcut_normal,0.524
ewc_on,42,15.0,T1_all,0.372
ewc_on,42,15.0,T1_all,0.42
ewc_on,42,15.0,T2_nonshortcut_normal,0.48133333333333334
ewc_on,42,15.0,T2_nonshortcut_normal,0.5626666666666666
ewc_on,42,15.0,T2_shortcut_masked,0.0
ewc_on,42,15.0,T2_shortcut_masked,0.042
ewc_on,42,15.0,T2_shortcut_normal,0.46
ewc_on,42,15.0,T2_shortcut_normal,0.524
ewc_on,42,16.0,T1_all,0.3575
ewc_on,42,16.0,T1_all,0.42025
ewc_on,42,16.0,T2_nonshortcut_normal,0.4866666666666667
ewc_on,42,16.0,T2_nonshortcut_normal,0.564
ewc_on,42,16.0,T2_shortcut_masked,0.006
ewc_on,42,16.0,T2_shortcut_masked,0.042
ewc_on,42,16.0,T2_shortcut_normal,0.472
ewc_on,42,16.0,T2_shortcut_normal,0.528
ewc_on,42,17.0,T1_all,0.38275
ewc_on,42,17.0,T1_all,0.4205
ewc_on,42,17.0,T2_nonshortcut_normal,0.46
ewc_on,42,17.0,T2_nonshortcut_normal,0.5633333333333334
ewc_on,42,17.0,T2_shortcut_masked,0.002
ewc_on,42,17.0,T2_shortcut_masked,0.044
ewc_on,42,17.0,T2_shortcut_normal,0.388
ewc_on,42,17.0,T2_shortcut_normal,0.53
ewc_on,42,18.0,T1_all,0.37725
ewc_on,42,18.0,T1_all,0.42
ewc_on,42,18.0,T2_nonshortcut_normal,0.49666666666666665
ewc_on,42,18.0,T2_nonshortcut_normal,0.5626666666666666
ewc_on,42,18.0,T2_shortcut_masked,0.032
ewc_on,42,18.0,T2_shortcut_masked,0.044
ewc_on,42,18.0,T2_shortcut_normal,0.456
ewc_on,42,18.0,T2_shortcut_normal,0.528
ewc_on,42,19.0,T1_all,0.36825
ewc_on,42,19.0,T1_all,0.42025
ewc_on,42,19.0,T2_nonshortcut_normal,0.45666666666666667
ewc_on,42,19.0,T2_nonshortcut_normal,0.562
ewc_on,42,19.0,T2_shortcut_masked,0.004
ewc_on,42,19.0,T2_shortcut_masked,0.044
ewc_on,42,19.0,T2_shortcut_normal,0.498
ewc_on,42,19.0,T2_shortcut_normal,0.53
ewc_on,42,20.0,T1_all,0.37025
ewc_on,42,20.0,T1_all,0.41975
ewc_on,42,20.0,T2_nonshortcut_normal,0.5
ewc_on,42,20.0,T2_nonshortcut_normal,0.562
ewc_on,42,20.0,T2_shortcut_masked,0.018
ewc_on,42,20.0,T2_shortcut_masked,0.044
ewc_on,42,20.0,T2_shortcut_normal,0.498
ewc_on,42,20.0,T2_shortcut_normal,0.528
ewc_on,42,21.0,T1_all,0.35775
ewc_on,42,21.0,T1_all,0.41975
ewc_on,42,21.0,T2_nonshortcut_normal,0.5346666666666666
ewc_on,42,21.0,T2_nonshortcut_normal,0.5633333333333334
ewc_on,42,21.0,T2_shortcut_masked,0.012
ewc_on,42,21.0,T2_shortcut_masked,0.044
ewc_on,42,21.0,T2_shortcut_normal,0.484
ewc_on,42,21.0,T2_shortcut_normal,0.528
ewc_on,42,22.0,T1_all,0.3755
ewc_on,42,22.0,T1_all,0.4205
ewc_on,42,22.0,T2_nonshortcut_normal,0.46
