method,seed,epoch_eff,split,acc
scratch_t2,42,0.0,T1_all,0.12325
scratch_t2,42,0.0,T2_nonshortcut_normal,0.16266666666666665
scratch_t2,42,0.0,T2_shortcut_masked,0.0
scratch_t2,42,0.0,T2_shortcut_normal,0.326
scratch_t2,42,1.0,T1_all,0.09125
scratch_t2,42,1.0,T2_nonshortcut_normal,0.16466666666666666
scratch_t2,42,1.0,T2_shortcut_masked,0.0
scratch_t2,42,1.0,T2_shortcut_normal,0.282
scratch_t2,42,2.0,T1_all,0.14875
scratch_t2,42,2.0,T2_nonshortcut_normal,0.22466666666666665
scratch_t2,42,2.0,T2_shortcut_masked,0.0
scratch_t2,42,2.0,T2_shortcut_normal,0.274
scratch_t2,42,3.0,T1_all,0.19325
scratch_t2,42,3.0,T2_nonshortcut_normal,0.2853333333333333
scratch_t2,42,3.0,T2_shortcut_masked,0.0
scratch_t2,42,3.0,T2_shortcut_normal,0.278
scratch_t2,42,4.0,T1_all,0.18575
scratch_t2,42,4.0,T2_nonshortcut_normal,0.28
scratch_t2,42,4.0,T2_shortcut_masked,0.0
scratch_t2,42,4.0,T2_shortcut_normal,0.242
scratch_t2,42,5.0,T1_all,0.1875
scratch_t2,42,5.0,T2_nonshortcut_normal,0.23066666666666666
scratch_t2,42,5.0,T2_shortcut_masked,0.0
scratch_t2,42,5.0,T2_shortcut_normal,0.286
scratch_t2,42,6.0,T1_all,0.253
scratch_t2,42,6.0,T2_nonshortcut_normal,0.3393333333333333
scratch_t2,42,6.0,T2_shortcut_masked,0.0
scratch_t2,42,6.0,T2_shortcut_normal,0.218
scratch_t2,42,7.0,T1_all,0.21475
scratch_t2,42,7.0,T2_nonshortcut_normal,0.264
scratch_t2,42,7.0,T2_shortcut_masked,0.002
scratch_t2,42,7.0,T2_shortcut_normal,0.286
scratch_t2,42,8.0,T1_all,0.177
scratch_t2,42,8.0,T2_nonshortcut_normal,0.314
scratch_t2,42,8.0,T2_shortcut_masked,0.0
scratch_t2,42,8.0,T2_shortcut_normal,0.302
scratch_t2,42,9.0,T1_all,0.244
scratch_t2,42,9.0,T2_nonshortcut_normal,0.3953333333333333
scratch_t2,42,9.0,T2_shortcut_masked,0.0
scratch_t2,42,9.0,T2_shortcut_normal,0.334
scratch_t2,42,10.0,T1_all,0.22475
scratch_t2,42,10.0,T2_nonshortcut_normal,0.3546666666666667
scratch_t2,42,10.0,T2_shortcut_masked,0.0
scratch_t2,42,10.0,T2_shortcut_normal,0.33
scratch_t2,42,11.0,T1_all,0.2155
scratch_t2,42,11.0,T2_nonshortcut_normal,0.31133333333333335
scratch_t2,42,11.0,T2_shortcut_masked,0.0
scratch_t2,42,11.0,T2_shortcut_normal,0.402
scratch_t2,42,12.0,T1_all,0.2495
scratch_t2,42,12.0,T2_nonshortcut_normal,0.24333333333333335
scratch_t2,42,12.0,T2_shortcut_masked,0.002
scratch_t2,42,12.0,T2_shortcut_normal,0.362
scratch_t2,42,13.0,T1_all,0.23275
scratch_t2,42,13.0,T2_nonshortcut_normal,0.38333333333333336
scratch_t2,42,13.0,T2_shortcut_masked,0.0
scratch_t2,42,13.0,T2_shortcut_normal,0.356
scratch_t2,42,14.0,T1_all,0.2665
scratch_t2,42,14.0,T2_nonshortcut_normal,0.35
scratch_t2,42,14.0,T2_shortcut_masked,0.0
scratch_t2,42,14.0,T2_shortcut_normal,0.376
scratch_t2,42,15.0,T1_all,0.142
scratch_t2,42,15.0,T2_nonshortcut_normal,0.324
scratch_t2,42,15.0,T2_shortcut_masked,0.21
