method,seed,epoch_eff,split,acc
dgr,42,0.0,T1_all,0.17
dgr,42,0.0,T1_all,0.21925
dgr,42,0.0,T2_nonshortcut_normal,0.27
dgr,42,0.0,T2_nonshortcut_normal,0.2773333333333333
dgr,42,0.0,T2_shortcut_masked,0.038
dgr,42,0.0,T2_shortcut_masked,0.046
dgr,42,0.0,T2_shortcut_normal,0.042
dgr,42,0.0,T2_shortcut_normal,0.082
dgr,42,1.0,T1_all,0.2165
dgr,42,1.0,T1_all,0.2095
dgr,42,1.0,T2_nonshortcut_normal,0.24333333333333335
dgr,42,1.0,T2_nonshortcut_normal,0.264
dgr,42,1.0,T2_shortcut_masked,0.054
dgr,42,1.0,T2_shortcut_masked,0.054
dgr,42,1.0,T2_shortcut_normal,0.07
dgr,42,1.0,T2_shortcut_normal,0.106
dgr,42,2.0,T1_all,0.21975
dgr,42,2.0,T1_all,0.217
dgr,42,2.0,T2_nonshortcut_normal,0.2773333333333333
dgr,42,2.0,T2_nonshortcut_normal,0.25733333333333336
dgr,42,2.0,T2_shortcut_masked,0.076
dgr,42,2.0,T2_shortcut_masked,0.06
dgr,42,2.0,T2_shortcut_normal,0.096
dgr,42,2.0,T2_shortcut_normal,0.094
dgr,42,3.0,T1_all,0.229
dgr,42,3.0,T1_all,0.206
dgr,42,3.0,T2_nonshortcut_normal,0.2833333333333333
dgr,42,3.0,T2_nonshortcut_normal,0.2813333333333333
dgr,42,3.0,T2_shortcut_masked,0.082
dgr,42,3.0,T2_shortcut_masked,0.04
dgr,42,3.0,T2_shortcut_normal,0.106
dgr,42,3.0,T2_shortcut_normal,0.098
dgr,42,4.0,T1_all,0.22325
dgr,42,4.0,T1_all,0.21425
dgr,42,4.0,T2_nonshortcut_normal,0.2773333333333333
dgr,42,4.0,T2_nonshortcut_normal,0.27666666666666667
dgr,42,4.0,T2_shortcut_masked,0.082
dgr,42,4.0,T2_shortcut_masked,0.056
dgr,42,4.0,T2_shortcut_normal,0.12
dgr,42,4.0,T2_shortcut_normal,0.094
dgr,42,5.0,T1_all,0.236
dgr,42,5.0,T1_all,0.215
dgr,42,5.0,T2_nonshortcut_normal,0.314
dgr,42,5.0,T2_nonshortcut_normal,0.286
dgr,42,5.0,T2_shortcut_masked,0.098
dgr,42,5.0,T2_shortcut_masked,0.046
dgr,42,5.0,T2_shortcut_normal,0.134
dgr,42,5.0,T2_shortcut_normal,0.094
dgr,42,6.0,T1_all,0.2435
dgr,42,6.0,T1_all,0.21675
dgr,42,6.0,T2_nonshortcut_normal,0.30266666666666664
dgr,42,6.0,T2_nonshortcut_normal,0.2806666666666667
dgr,42,6.0,T2_shortcut_masked,0.13
dgr,42,6.0,T2_shortcut_masked,0.054
dgr,42,6.0,T2_shortcut_normal,0.168
dgr,42,6.0,T2_shortcut_normal,0.086
dgr,42,7.0,T1_all,0.24375
dgr,42,7.0,T1_all,0.21325
dgr,42,7.0,T2_nonshortcut_normal,0.308
dgr,42,7.0,T2_nonshortcut_normal,0.282
dgr,42,7.0,T2_shortcut_masked,0.086
dgr,42,7.0,T2_shortcut_masked,0.056
dgr,42,7.0,T2_shortcut_normal,0.11
dgr,42,7.0,T2_shortcut_normal,0.102
dgr,42,8.0,T1_all,0.2365
dgr,42,8.0,T1_all,0.21225
dgr,42,8.0,T2_nonshortcut_normal,0.272
dgr,42,8.0,T2_nonshortcut_normal,0.298
dgr,42,8.0,T2_shortcut_masked,0.136
