method,seed,epoch_eff,split,acc
dgr,42,0.1,T1_all,0.13622607651048232
dgr,42,0.1,T2_shortcut_normal,0.19189405058708778
dgr,42,0.1,T2_shortcut_masked,0.16537168122547075
dgr,42,0.1,T2_nonshortcut_normal,0.1786957236576643
dgr,42,0.2,T1_all,0.1378640100335938
dgr,42,0.2,T2_shortcut_normal,0.239342396222902
dgr,42,0.2,T2_shortcut_masked,0.19227476589725023
dgr,42,0.2,T2_nonshortcut_normal,0.21601932851583605
dgr,42,0.3,T1_all,0.11223945564017213
dgr,42,0.3,T2_shortcut_normal,0.2514575648119642
dgr,42,0.3,T2_shortcut_masked,0.1885754253158175
dgr,42,0.3,T2_nonshortcut_normal,0.22041399254667474
dgr,42,0.4,T1_all,0.11385829559112537
dgr,42,0.4,T2_shortcut_normal,0.2842084063559589
dgr,42,0.4,T2_shortcut_masked,0.2092447683723201
dgr,42,0.4,T2_nonshortcut_normal,0.24731903160113244
dgr,42,0.5,T1_all,0.13079353158203022
dgr,42,0.5,T2_shortcut_normal,0.32686569923059755
dgr,42,0.5,T2_shortcut_masked,0.24275622103382727
dgr,42,0.5,T2_nonshortcut_normal,0.28558711664688047
dgr,42,0.6,T1_all,0.11866670843636315
dgr,42,0.6,T2_shortcut_normal,0.33603164486270254
dgr,42,0.6,T2_shortcut_masked,0.2450759764882433
dgr,42,0.6,T2_nonshortcut_normal,0.2914910270251284
dgr,42,0.7,T1_all,0.13295694622572013
dgr,42,0.7,T2_shortcut_normal,0.3679882570432381
dgr,42,0.7,T2_shortcut_masked,0.271979796403489
dgr,42,0.7,T2_nonshortcut_normal,0.3210538396007775
dgr,42,0.7999999999999999,T1_all,0.11143587669138967
dgr,42,0.7999999999999999,T2_shortcut_normal,0.36116452129299303
dgr,42,0.7999999999999999,T2_shortcut_masked,0.2614946343089492
dgr,42,0.7999999999999999,T2_nonshortcut_normal,0.3125015370208592
dgr,42,0.8999999999999999,T1_all,0.12895127441196252
dgr,42,0.8999999999999999,T2_shortcut_normal,0.3909464079454866
dgr,42,0.8999999999999999,T2_shortcut_masked,0.28868802228278423
dgr,42,0.8999999999999999,T2_nonshortcut_normal,0.34106139964105886
dgr,42,0.9999999999999999,T1_all,0.11586637179224059
dgr,42,0.9999999999999999,T2_shortcut_normal,0.38813778682125677
dgr,42,0.9999999999999999,T2_shortcut_masked,0.2841123397625546
dgr,42,0.9999999999999999,T2_nonshortcut_normal,0.3374136497368439
dgr,42,1.0999999999999999,T1_all,0.10836703928559434
dgr,42,1.0999999999999999,T2_shortcut_normal,0.38928529177689414
dgr,42,1.0999999999999999,T2_shortcut_masked,0.2841162575614435
dgr,42,1.0999999999999999,T2_nonshortcut_normal,0.33800892995787113
dgr,42,1.2,T1_all,0.14775449056106732
dgr,42,1.2,T2_shortcut_normal,0.43598550457424357
dgr,42,1.2,T2_shortcut_masked,0.33014111291674997
dgr,42,1.2,T2_nonshortcut_normal,0.3843696103015517
dgr,42,1.3,T1_all,0.10051271940906506
dgr,42,1.3,T2_shortcut_normal,0.39496424594476487
dgr,42,1.3,T2_shortcut_masked,0.2887915050917624
dgr,42,1.3,T2_nonshortcut_normal,0.3431644098514418
dgr,42,1.4,T1_all,0.12359611483856474
dgr,42,1.4,T2_shortcut_normal,0.42337389605099934
dgr,42,1.4,T2_shortcut_masked,0.3171256291879684
dgr,42,1.4,T2_nonshortcut_normal,0.37150201315118164
dgr,42,1.5,T1_all,0.06688978150008217
dgr,42,1.5,T2_shortcut_normal,0.37126166098972296
dgr,42,1.5,T2_shortcut_masked,0.2651179365877093
dgr,42,1.5,T2_nonshortcut_normal,0.31939640331514474
dgr,42,1.5999999999999999,T1_all,0.10197626548515229
dgr,42,1.5999999999999999,T2_shortcut_normal,0.4103428042916424
dgr,42,1.5999999999999999,T2_shortcut_masked,0.3044278748272698
dgr,42,1.5999999999999999,T2_nonshortcut_normal,0.35853777477661886
dgr,42,1.7,T1_all,0.09259025221532177
dgr,42,1.7,T2_shortcut_normal,0.40446067122722396
dgr,42,1.7,T2_shortcut_masked,0.29885631901509113
dgr,42,1.7,T2_nonshortcut_normal,0.3527507284103247
dgr,42,1.8,T1_all,0.13105325807772944
dgr,42,1.8,T2_shortcut_normal,0.44602574134354167
dgr,42,1.8,T2_shortcut_masked,0.3407817555297795
dgr,42,1.8,T2_nonshortcut_normal,0.3944318843029827
dgr,42,1.9,T1_all,0.09498640301880576
dgr,42,1.9,T2_shortcut_normal,0.412731971461956
dgr,42,1.9,T2_shortcut_masked,0.307874338843838
dgr,42,1.9,T2_nonshortcut_normal,0.3612650942840508
dgr,42,2.0,T1_all,0.07397305895792293
dgr,42,2.0,T2_shortcut_normal,0.39422236729130267
dgr,42,2.0,T2_shortcut_masked,0.28975964528435016
dgr,42,2.0,T2_nonshortcut_normal,0.3428861283460998
