method,seed,epoch_eff,split,acc
gpm,42,0.0,T1_all,0.21825
gpm,42,0.0,T1_all,0.53175
gpm,42,0.0,T2_nonshortcut_normal,0.0
gpm,42,0.0,T2_nonshortcut_normal,0.0
gpm,42,0.0,T2_shortcut_masked,0.0
gpm,42,0.0,T2_shortcut_masked,0.0
gpm,42,0.0,T2_shortcut_normal,0.0
gpm,42,0.0,T2_shortcut_normal,0.0
gpm,42,1.0,T1_all,0.2625
gpm,42,1.0,T1_all,0.53325
gpm,42,1.0,T2_nonshortcut_normal,0.0
gpm,42,1.0,T2_nonshortcut_normal,0.006
gpm,42,1.0,T2_shortcut_masked,0.0
gpm,42,1.0,T2_shortcut_masked,0.0
gpm,42,1.0,T2_shortcut_normal,0.0
gpm,42,1.0,T2_shortcut_normal,0.0
gpm,42,2.0,T1_all,0.3065
gpm,42,2.0,T1_all,0.53075
gpm,42,2.0,T2_nonshortcut_normal,0.0
gpm,42,2.0,T2_nonshortcut_normal,0.020666666666666667
gpm,42,2.0,T2_shortcut_masked,0.0
gpm,42,2.0,T2_shortcut_masked,0.0
gpm,42,2.0,T2_shortcut_normal,0.0
gpm,42,2.0,T2_shortcut_normal,0.0
gpm,42,3.0,T1_all,0.33225
gpm,42,3.0,T1_all,0.53225
gpm,42,3.0,T2_nonshortcut_normal,0.0
gpm,42,3.0,T2_nonshortcut_normal,0.03933333333333333
gpm,42,3.0,T2_shortcut_masked,0.0
gpm,42,3.0,T2_shortcut_masked,0.0
gpm,42,3.0,T2_shortcut_normal,0.0
gpm,42,3.0,T2_shortcut_normal,0.0
gpm,42,4.0,T1_all,0.34825
gpm,42,4.0,T1_all,0.533
gpm,42,4.0,T2_nonshortcut_normal,0.0
gpm,42,4.0,T2_nonshortcut_normal,0.05266666666666667
gpm,42,4.0,T2_shortcut_masked,0.0
gpm,42,4.0,T2_shortcut_masked,0.002
gpm,42,4.0,T2_shortcut_normal,0.0
gpm,42,4.0,T2_shortcut_normal,0.002
gpm,42,5.0,T1_all,0.371
gpm,42,5.0,T1_all,0.5315
gpm,42,5.0,T2_nonshortcut_normal,0.0
gpm,42,5.0,T2_nonshortcut_normal,0.06133333333333333
gpm,42,5.0,T2_shortcut_masked,0.0
gpm,42,5.0,T2_shortcut_masked,0.002
gpm,42,5.0,T2_shortcut_normal,0.0
gpm,42,5.0,T2_shortcut_normal,0.01
gpm,42,6.0,T1_all,0.3855
gpm,42,6.0,T1_all,0.5295
gpm,42,6.0,T2_nonshortcut_normal,0.0
gpm,42,6.0,T2_nonshortcut_normal,0.08533333333333333
gpm,42,6.0,T2_shortcut_masked,0.0
gpm,42,6.0,T2_shortcut_masked,0.002
gpm,42,6.0,T2_shortcut_normal,0.0
gpm,42,6.0,T2_shortcut_normal,0.012
gpm,42,7.0,T1_all,0.39325
gpm,42,7.0,T1_all,0.5285
gpm,42,7.0,T2_nonshortcut_normal,0.0
gpm,42,7.0,T2_nonshortcut_normal,0.09333333333333334
gpm,42,7.0,T2_shortcut_masked,0.0
gpm,42,7.0,T2_shortcut_masked,0.006
gpm,42,7.0,T2_shortcut_normal,0.0
gpm,42,7.0,T2_shortcut_normal,0.02
gpm,42,8.0,T1_all,0.41075
gpm,42,8.0,T1_all,0.52875
gpm,42,8.0,T2_nonshortcut_normal,0.0
gpm,42,8.0,T2_nonshortcut_normal,0.11733333333333333
gpm,42,8.0,T2_shortcut_masked,0.0
gpm,42,8.0,T2_shortcut_masked,0.002
gpm,42,8.0,T2_shortcut_normal,0.0
gpm,42,8.0,T2_shortcut_normal,0.02
gpm,42,9.0,T1_all,0.4175
gpm,42,9.0,T1_all,0.526
gpm,42,9.0,T2_nonshortcut_normal,0.0
gpm,42,9.0,T2_nonshortcut_normal,0.12466666666666666
gpm,42,9.0,T2_shortcut_masked,0.0
gpm,42,9.0,T2_shortcut_masked,0.01
gpm,42,9.0,T2_shortcut_normal,0.0
gpm,42,9.0,T2_shortcut_normal,0.024
gpm,42,10.0,T1_all,0.43025
gpm,42,10.0,T1_all,0.52375
gpm,42,10.0,T2_nonshortcut_normal,0.0
gpm,42,10.0,T2_nonshortcut_normal,0.152
gpm,42,10.0,T2_shortcut_masked,0.0
gpm,42,10.0,T2_shortcut_masked,0.012
gpm,42,10.0,T2_shortcut_normal,0.0
gpm,42,10.0,T2_shortcut_normal,0.024
gpm,42,11.0,T1_all,0.438
gpm,42,11.0,T1_all,0.5235
gpm,42,11.0,T2_nonshortcut_normal,0.0
gpm,42,11.0,T2_nonshortcut_normal,0.15533333333333332
gpm,42,11.0,T2_shortcut_masked,0.0
gpm,42,11.0,T2_shortcut_masked,0.012
gpm,42,11.0,T2_shortcut_normal,0.0
gpm,42,11.0,T2_shortcut_normal,0.036
gpm,42,12.0,T1_all,0.4415
gpm,42,12.0,T1_all,0.52275
gpm,42,12.0,T2_nonshortcut_normal,0.0
gpm,42,12.0,T2_nonshortcut_normal,0.16266666666666665
gpm,42,12.0,T2_shortcut_masked,0.0
gpm,42,12.0,T2_shortcut_masked,0.016
gpm,42,12.0,T2_shortcut_normal,0.0
gpm,42,12.0,T2_shortcut_normal,0.036
gpm,42,13.0,T1_all,0.4485
gpm,42,13.0,T1_all,0.52275
gpm,42,13.0,T2_nonshortcut_normal,0.0
gpm,42,13.0,T2_nonshortcut_normal,0.17866666666666667
gpm,42,13.0,T2_shortcut_masked,0.0
gpm,42,13.0,T2_shortcut_masked,0.014
gpm,42,13.0,T2_shortcut_normal,0.0
gpm,42,13.0,T2_shortcut_normal,0.042
