method,seed,epoch_eff,split,acc
gpm,42,0.1,T1_all,0.09705476923409619
gpm,42,0.1,T2_shortcut_normal,0.05143554331070164
gpm,42,0.1,T2_shortcut_masked,0.024913173949084627
gpm,42,0.1,T2_nonshortcut_normal,0.03823721638127819
gpm,42,0.2,T1_all,0.11868857954082443
gpm,42,0.2,T2_shortcut_normal,0.1175925657301326
gpm,42,0.2,T2_shortcut_masked,0.07052493540448085
gpm,42,0.2,T2_nonshortcut_normal,0.09426949802306667
gpm,42,0.3,T1_all,0.1025083029508271
gpm,42,0.3,T2_shortcut_normal,0.13786481212261917
gpm,42,0.3,T2_shortcut_masked,0.07498267262647243
gpm,42,0.3,T2_nonshortcut_normal,0.10682123985732968
gpm,42,0.4,T1_all,0.08110592163581445
gpm,42,0.4,T2_shortcut_normal,0.14630723240064797
gpm,42,0.4,T2_shortcut_masked,0.07134359441700917
gpm,42,0.4,T2_nonshortcut_normal,0.10941785764582154
gpm,42,0.5,T1_all,0.11779227740389832
gpm,42,0.5,T2_shortcut_normal,0.2074284450524656
gpm,42,0.5,T2_shortcut_masked,0.12331896685569538
gpm,42,0.5,T2_nonshortcut_normal,0.16614986246874852
gpm,42,0.6,T1_all,0.11066359322460587
gpm,42,0.6,T2_shortcut_normal,0.2203053296509452
gpm,42,0.6,T2_shortcut_masked,0.12934966127648603
gpm,42,0.6,T2_nonshortcut_normal,0.17576471181337108
gpm,42,0.7,T1_all,0.07903144377754717
gpm,42,0.7,T2_shortcut_normal,0.2050523545950652
gpm,42,0.7,T2_shortcut_masked,0.10904389395531608
gpm,42,0.7,T2_nonshortcut_normal,0.15811793715260455
gpm,42,0.7999999999999999,T1_all,0.0850957495316553
gpm,42,0.7999999999999999,T2_shortcut_normal,0.22452679413325866
gpm,42,0.7999999999999999,T2_shortcut_masked,0.12485690714921485
gpm,42,0.7999999999999999,T2_nonshortcut_normal,0.17586380986112485
gpm,42,0.8999999999999999,T1_all,0.09683682040879839
gpm,42,0.8999999999999999,T2_shortcut_normal,0.2472471539423224
gpm,42,0.8999999999999999,T2_shortcut_masked,0.14498876827962007
gpm,42,0.8999999999999999,T2_nonshortcut_normal,0.1973621456378947
gpm,42,0.9999999999999999,T1_all,0.09264195848824684
gpm,42,0.9999999999999999,T2_shortcut_normal,0.252041373517263
gpm,42,0.9999999999999999,T2_shortcut_masked,0.14801592645856088
gpm,42,0.9999999999999999,T2_nonshortcut_normal,0.2013172364328502
gpm,42,1.0999999999999999,T1_all,0.12377713812842876
gpm,42,1.0999999999999999,T2_shortcut_normal,0.2905361906197286
gpm,42,1.0999999999999999,T2_shortcut_masked,0.18536715640427795
gpm,42,1.0999999999999999,T2_nonshortcut_normal,0.23925982880070557
gpm,42,1.2,T1_all,0.08502881467061917
gpm,42,1.2,T2_shortcut_normal,0.2578134286837954
gpm,42,1.2,T2_shortcut_masked,0.15196903702630185
gpm,42,1.2,T2_nonshortcut_normal,0.20619753441110353
gpm,42,1.3,T1_all,0.1116774510194345
gpm,42,1.3,T2_shortcut_normal,0.28939537755513434
gpm,42,1.3,T2_shortcut_masked,0.1832226367021318
gpm,42,1.3,T2_nonshortcut_normal,0.23759554146181125
gpm,42,1.4,T1_all,0.1126000976547408
gpm,42,1.4,T2_shortcut_normal,0.2943570788671754
gpm,42,1.4,T2_shortcut_masked,0.18810881200414442
gpm,42,1.4,T2_nonshortcut_normal,0.24248519596735768
gpm,42,1.5,T1_all,0.09698181139260292
gpm,42,1.5,T2_shortcut_normal,0.28204569088224374
gpm,42,1.5,T2_shortcut_masked,0.17590196648023007
gpm,42,1.5,T2_nonshortcut_normal,0.23018043320766549
gpm,42,1.5999999999999999,T1_all,0.10222685475725259
gpm,42,1.5999999999999999,T2_shortcut_normal,0.2899981935637427
gpm,42,1.5999999999999999,T2_shortcut_masked,0.18408326409937012
gpm,42,1.5999999999999999,T2_nonshortcut_normal,0.23819316404871915
gpm,42,1.7,T1_all,0.09949814902700926
gpm,42,1.7,T2_shortcut_normal,0.2894861680389114
gpm,42,1.7,T2_shortcut_masked,0.18388181582677862
gpm,42,1.7,T2_nonshortcut_normal,0.23777622522201214
gpm,42,1.8,T1_all,0.10908666367566466
gpm,42,1.8,T2_shortcut_normal,0.3008895469414769
gpm,42,1.8,T2_shortcut_masked,0.19564556112771472
gpm,42,1.8,T2_nonshortcut_normal,0.24929568990091788
gpm,42,1.9,T1_all,0.09457300392825994
gpm,42,1.9,T2_shortcut_normal,0.2878617723714102
gpm,42,1.9,T2_shortcut_masked,0.18300413975329227
gpm,42,1.9,T2_nonshortcut_normal,0.236394895193505
gpm,42,2.0,T1_all,0.13988276170117908
gpm,42,2.0,T2_shortcut_normal,0.3343880700345588
gpm,42,2.0,T2_shortcut_masked,0.22992534802760628
gpm,42,2.0,T2_nonshortcut_normal,0.28305183108935594
