method,seed,epoch_eff,split,acc
interleaved,42,0.0,T1_all,0.02875
interleaved,42,0.0,T1_all,0.4255
interleaved,42,0.0,T2_nonshortcut_normal,0.0
interleaved,42,0.0,T2_nonshortcut_normal,0.0
interleaved,42,0.0,T2_shortcut_masked,0.0
interleaved,42,0.0,T2_shortcut_masked,0.0
interleaved,42,0.0,T2_shortcut_normal,0.0
interleaved,42,0.0,T2_shortcut_normal,0.0
interleaved,42,10.0,T1_all,0.02875
interleaved,42,10.0,T1_all,0.4255
interleaved,42,10.0,T2_nonshortcut_normal,0.0
interleaved,42,10.0,T2_nonshortcut_normal,0.0
interleaved,42,10.0,T2_shortcut_masked,0.0
interleaved,42,10.0,T2_shortcut_masked,0.0
interleaved,42,10.0,T2_shortcut_normal,0.0
interleaved,42,10.0,T2_shortcut_normal,0.0
interleaved,42,20.0,T1_all,0.02875
interleaved,42,20.0,T1_all,0.4255
interleaved,42,20.0,T2_nonshortcut_normal,0.0
interleaved,42,20.0,T2_nonshortcut_normal,0.0
interleaved,42,20.0,T2_shortcut_masked,0.0
interleaved,42,20.0,T2_shortcut_masked,0.0
interleaved,42,20.0,T2_shortcut_normal,0.0
interleaved,42,20.0,T2_shortcut_normal,0.0
interleaved,42,30.0,T1_all,0.02875
interleaved,42,30.0,T1_all,0.4255
interleaved,42,30.0,T2_nonshortcut_normal,0.0
interleaved,42,30.0,T2_nonshortcut_normal,0.0
interleaved,42,30.0,T2_shortcut_masked,0.0
interleaved,42,30.0,T2_shortcut_masked,0.0
interleaved,42,30.0,T2_shortcut_normal,0.0
interleaved,42,30.0,T2_shortcut_normal,0.0
interleaved,42,40.0,T1_all,0.02875
interleaved,42,40.0,T1_all,0.4255
interleaved,42,40.0,T2_nonshortcut_normal,0.0
interleaved,42,40.0,T2_nonshortcut_normal,0.0
interleaved,42,40.0,T2_shortcut_masked,0.0
interleaved,42,40.0,T2_shortcut_masked,0.0
interleaved,42,40.0,T2_shortcut_normal,0.0
interleaved,42,40.0,T2_shortcut_normal,0.0
interleaved,42,49.0,T1_all,0.02875
interleaved,42,49.0,T1_all,0.4255
interleaved,42,49.0,T2_nonshortcut_normal,0.0
interleaved,42,49.0,T2_nonshortcut_normal,0.0
interleaved,42,49.0,T2_shortcut_masked,0.0
interleaved,42,49.0,T2_shortcut_masked,0.0
interleaved,42,49.0,T2_shortcut_normal,0.0
interleaved,42,49.0,T2_shortcut_normal,0.0
