method,seed,epoch_eff,split,acc
scratch_t2,42,0.0,T1_all,0.0
scratch_t2,42,0.0,T2_nonshortcut_normal,0.388
scratch_t2,42,0.0,T2_shortcut_masked,0.024
scratch_t2,42,0.0,T2_shortcut_normal,0.354
scratch_t2,42,10.0,T1_all,0.0
scratch_t2,42,10.0,T2_nonshortcut_normal,0.566
scratch_t2,42,10.0,T2_shortcut_masked,0.022
scratch_t2,42,10.0,T2_shortcut_normal,0.508
scratch_t2,42,20.0,T1_all,0.0
scratch_t2,42,20.0,T2_nonshortcut_normal,0.6653333333333333
scratch_t2,42,20.0,T2_shortcut_masked,0.014
scratch_t2,42,20.0,T2_shortcut_normal,0.65
scratch_t2,42,30.0,T1_all,0.0
scratch_t2,42,30.0,T2_nonshortcut_normal,0.668
scratch_t2,42,30.0,T2_shortcut_masked,0.138
scratch_t2,42,30.0,T2_shortcut_normal,0.712
scratch_t2,42,40.0,T1_all,0.0
scratch_t2,42,40.0,T2_nonshortcut_normal,0.7586666666666667
scratch_t2,42,40.0,T2_shortcut_masked,0.178
scratch_t2,42,40.0,T2_shortcut_normal,0.746
scratch_t2,42,49.0,T1_all,0.0
scratch_t2,42,49.0,T2_nonshortcut_normal,0.7573333333333333
scratch_t2,42,49.0,T2_shortcut_masked,0.188
scratch_t2,42,49.0,T2_shortcut_normal,0.762
