method,seed,epoch_eff,split,acc,top5,loss
derpp,42,0.0,T1_all,0.234,0.55325,2.9593008880615232
derpp,42,0.0,T1_all,0.6575,0.89175,1.4192039582729339
derpp,42,0.0,T2_nonshortcut_normal,0.37933333333333336,0.736,2.215738256454468
derpp,42,0.0,T2_nonshortcut_normal,0.7413333333333333,0.9306666666666666,1.0367173388004303
derpp,42,0.0,T2_shortcut_masked,0.256,0.59,2.761072525024414
derpp,42,0.0,T2_shortcut_masked,0.632,0.856,1.4814166355133056
derpp,42,0.0,T2_shortcut_normal,0.188,0.498,3.0951127262115476
derpp,42,0.0,T2_shortcut_normal,0.512,0.766,2.0827641258239744
derpp,42,1.0,T1_all,0.30675,0.64125,2.628548253059387
derpp,42,1.0,T1_all,0.66575,0.8905,1.3697623205184937
derpp,42,1.0,T2_nonshortcut_normal,0.476,0.7706666666666667,1.9824309539794922
derpp,42,1.0,T2_nonshortcut_normal,0.7566666666666667,0.942,0.9298915418783824
derpp,42,1.0,T2_shortcut_masked,0.216,0.558,2.9852334327697756
derpp,42,1.0,T2_shortcut_masked,0.678,0.9,1.2394066905975343
derpp,42,1.0,T2_shortcut_normal,0.112,0.374,3.684791934967041
derpp,42,1.0,T2_shortcut_normal,0.548,0.822,1.8317760915756225
derpp,42,2.0,T1_all,0.39675,0.743,2.201176571846008
derpp,42,2.0,T1_all,0.655,0.88875,1.4099960136413574
derpp,42,2.0,T2_nonshortcut_normal,0.51,0.8046666666666666,1.7819322735468546
derpp,42,2.0,T2_nonshortcut_normal,0.77,0.946,0.8802747317155202
derpp,42,2.0,T2_shortcut_masked,0.31,0.676,2.548951389312744
derpp,42,2.0,T2_shortcut_masked,0.688,0.908,1.1851066064834594
derpp,42,2.0,T2_shortcut_normal,0.212,0.488,3.251848829269409
derpp,42,2.0,T2_shortcut_normal,0.576,0.808,1.7660486221313476
derpp,42,3.0,T1_all,0.42325,0.755,2.172140633583069
derpp,42,3.0,T1_all,0.66925,0.89625,1.35296022605896
derpp,42,3.0,T2_nonshortcut_normal,0.572,0.8706666666666667,1.5260782645543416
derpp,42,3.0,T2_nonshortcut_normal,0.7833333333333333,0.9506666666666667,0.8373537003993988
derpp,42,3.0,T2_shortcut_masked,0.322,0.698,2.5531190280914307
derpp,42,3.0,T2_shortcut_masked,0.696,0.9,1.1871204509735107
derpp,42,3.0,T2_shortcut_normal,0.256,0.574,3.0052104415893557
derpp,42,3.0,T2_shortcut_normal,0.572,0.828,1.727759925842285
derpp,42,4.0,T1_all,0.43975,0.77725,2.0996323223114013
derpp,42,4.0,T1_all,0.67275,0.89,1.3512501182556151
derpp,42,4.0,T2_nonshortcut_normal,0.6,0.8533333333333334,1.5207137778600057
derpp,42,4.0,T2_nonshortcut_normal,0.782,0.9433333333333334,0.8640572158495585
derpp,42,4.0,T2_shortcut_masked,0.442,0.78,2.0836622095108033
derpp,42,4.0,T2_shortcut_masked,0.664,0.892,1.3106911582946776
derpp,42,4.0,T2_shortcut_normal,0.332,0.676,2.667668643951416
derpp,42,4.0,T2_shortcut_normal,0.568,0.79,1.8056089324951172
derpp,42,5.0,T1_all,0.4915,0.811,1.87349365234375
derpp,42,5.0,T1_all,0.6285,0.881,1.627599639892578
derpp,42,5.0,T2_nonshortcut_normal,0.6053333333333333,0.8773333333333333,1.3729364733695983
derpp,42,5.0,T2_nonshortcut_normal,0.734,0.9153333333333333,1.148813201824824
derpp,42,5.0,T2_shortcut_masked,0.438,0.742,2.1717438745498656
derpp,42,5.0,T2_shortcut_masked,0.662,0.894,1.3969404735565185
derpp,42,5.0,T2_shortcut_normal,0.312,0.608,2.845633979797363
derpp,42,5.0,T2_shortcut_normal,0.556,0.79,1.8767849140167236
derpp,42,6.0,T1_all,0.50675,0.82175,1.83064803981781
derpp,42,6.0,T1_all,0.67475,0.898,1.3213612666130066
derpp,42,6.0,T2_nonshortcut_normal,0.6353333333333333,0.8793333333333333,1.3417325735092163
derpp,42,6.0,T2_nonshortcut_normal,0.7806666666666666,0.9373333333333334,0.8703981488545736
derpp,42,6.0,T2_shortcut_masked,0.41,0.75,2.221607689857483
derpp,42,6.0,T2_shortcut_masked,0.682,0.896,1.2319176197052002
