method,seed,epoch_eff,split,acc,top5,loss
dgr,42,0.0,T1_all,0.2105,0.531,2.972168384552002
dgr,42,0.0,T1_all,0.598,0.8445,1.8092161197662353
dgr,42,0.0,T2_nonshortcut_normal,0.3586666666666667,0.6633333333333333,2.512321880340576
dgr,42,0.0,T2_nonshortcut_normal,0.6526666666666666,0.8853333333333333,1.4645340196291605
dgr,42,0.0,T2_shortcut_masked,0.252,0.6,2.902483070373535
dgr,42,0.0,T2_shortcut_masked,0.472,0.742,2.588099540710449
dgr,42,0.0,T2_shortcut_normal,0.144,0.408,3.4632817401885987
dgr,42,0.0,T2_shortcut_normal,0.326,0.574,3.8781537342071535
dgr,42,1.0,T1_all,0.28125,0.6355,2.6713116931915284
dgr,42,1.0,T1_all,0.5885,0.84075,1.8102306604385376
dgr,42,1.0,T2_nonshortcut_normal,0.428,0.774,2.0953026978174845
dgr,42,1.0,T2_nonshortcut_normal,0.6693333333333333,0.9,1.3698481225967407
dgr,42,1.0,T2_shortcut_masked,0.168,0.478,3.228408420562744
dgr,42,1.0,T2_shortcut_masked,0.484,0.75,2.5103847732543945
dgr,42,1.0,T2_shortcut_normal,0.122,0.38,3.5634008502960204
dgr,42,1.0,T2_shortcut_normal,0.388,0.588,3.6161386909484863
dgr,42,2.0,T1_all,0.3465,0.69675,2.3811106615066526
dgr,42,2.0,T1_all,0.60475,0.851,1.7558312177658082
dgr,42,2.0,T2_nonshortcut_normal,0.486,0.7853333333333333,1.9200344171524049
dgr,42,2.0,T2_nonshortcut_normal,0.698,0.9173333333333333,1.2074780428409577
dgr,42,2.0,T2_shortcut_masked,0.27,0.638,2.7578433055877687
dgr,42,2.0,T2_shortcut_masked,0.534,0.836,1.9910672035217285
dgr,42,2.0,T2_shortcut_normal,0.218,0.542,3.119142623901367
dgr,42,2.0,T2_shortcut_normal,0.408,0.69,2.993178213119507
dgr,42,3.0,T1_all,0.37725,0.733,2.2724437017440797
dgr,42,3.0,T1_all,0.61875,0.86,1.6853040843009948
dgr,42,3.0,T2_nonshortcut_normal,0.5473333333333333,0.8406666666666667,1.6360839497248332
dgr,42,3.0,T2_nonshortcut_normal,0.7013333333333334,0.9113333333333333,1.2347449596722921
dgr,42,3.0,T2_shortcut_masked,0.196,0.586,2.9804378032684324
dgr,42,3.0,T2_shortcut_masked,0.536,0.808,2.0442865715026857
dgr,42,3.0,T2_shortcut_normal,0.124,0.474,3.4889575004577638
dgr,42,3.0,T2_shortcut_normal,0.37,0.68,3.083373546600342
dgr,42,4.0,T1_all,0.3905,0.759,2.2154899263381957
dgr,42,4.0,T1_all,0.5915,0.85175,1.7155524277687073
dgr,42,4.0,T2_nonshortcut_normal,0.5273333333333333,0.8046666666666666,1.8002510398228964
dgr,42,4.0,T2_nonshortcut_normal,0.6833333333333333,0.9113333333333333,1.2736656249364218
dgr,42,4.0,T2_shortcut_masked,0.45,0.782,1.962051824569702
dgr,42,4.0,T2_shortcut_masked,0.53,0.79,2.183409132003784
dgr,42,4.0,T2_shortcut_normal,0.354,0.706,2.4258565311431886
dgr,42,4.0,T2_shortcut_normal,0.388,0.662,3.1077889709472655
dgr,42,5.0,T1_all,0.45225,0.7925,1.9727928133010864
dgr,42,5.0,T1_all,0.61275,0.852,1.7231427931785583
dgr,42,5.0,T2_nonshortcut_normal,0.5586666666666666,0.8573333333333333,1.5607379528681438
dgr,42,5.0,T2_nonshortcut_normal,0.7013333333333334,0.9086666666666666,1.2445841120084127
dgr,42,5.0,T2_shortcut_masked,0.388,0.748,2.3004686346054077
dgr,42,5.0,T2_shortcut_masked,0.454,0.748,2.5346208686828615
dgr,42,5.0,T2_shortcut_normal,0.272,0.576,3.045708343505859
dgr,42,5.0,T2_shortcut_normal,0.3,0.526,4.020707489013672
dgr,42,6.0,T1_all,0.474,0.79975,1.9210824146270753
dgr,42,6.0,T1_all,0.61425,0.8655,1.6252836227416991
dgr,42,6.0,T2_nonshortcut_normal,0.6173333333333333,0.862,1.418271653652191
dgr,42,6.0,T2_nonshortcut_normal,0.6946666666666667,0.9006666666666666,1.266607822418213
dgr,42,6.0,T2_shortcut_masked,0.39,0.802,2.0196051921844482
dgr,42,6.0,T2_shortcut_masked,0.566,0.818,1.813610450744629
dgr,42,6.0,T2_shortcut_normal,0.282,0.722,2.5271994171142578
dgr,42,6.0,T2_shortcut_normal,0.434,0.7,2.8016901054382326
dgr,42,7.0,T1_all,0.5075,0.841,1.7342793521881104
dgr,42,7.0,T1_all,0.59325,0.86375,1.7527655811309815
dgr,42,7.0,T2_nonshortcut_normal,0.614,0.8853333333333333,1.3672984215418498
dgr,42,7.0,T2_nonshortcut_normal,0.6953333333333334,0.916,1.2137373105684917
dgr,42,7.0,T2_shortcut_masked,0.37,0.708,2.3357754974365235
dgr,42,7.0,T2_shortcut_masked,0.51,0.792,2.2522109718322754
dgr,42,7.0,T2_shortcut_normal,0.264,0.578,3.0764337615966797
dgr,42,7.0,T2_shortcut_normal,0.368,0.614,3.4298751564025878
dgr,42,8.0,T1_all,0.52225,0.8345,1.7174383907318116
dgr,42,8.0,T1_all,0.6155,0.8685,1.622652979850769
dgr,42,8.0,T2_nonshortcut_normal,0.608,0.8653333333333333,1.4090628441174824
dgr,42,8.0,T2_nonshortcut_normal,0.7053333333333334,0.9086666666666666,1.2272822241783141
dgr,42,8.0,T2_shortcut_masked,0.484,0.802,1.837163155555725
dgr,42,8.0,T2_shortcut_masked,0.498,0.792,2.218414867401123
