method,seed,epoch_eff,split,acc,top5,loss
ewc_on,42,0.0,T1_all,0.20725,0.53075,2.9919435749053953
ewc_on,42,0.0,T1_all,0.65825,0.9025,1.5104377632141113
ewc_on,42,0.0,T2_nonshortcut_normal,0.3486666666666667,0.676,2.5060523770650227
ewc_on,42,0.0,T2_nonshortcut_normal,0.754,0.9193333333333333,1.0872175710995993
ewc_on,42,0.0,T2_shortcut_masked,0.192,0.546,3.1205841274261474
ewc_on,42,0.0,T2_shortcut_masked,0.682,0.91,1.3131744413375854
ewc_on,42,0.0,T2_shortcut_normal,0.104,0.34,3.7292244071960448
ewc_on,42,0.0,T2_shortcut_normal,0.58,0.836,1.9712814540863037
ewc_on,42,1.0,T1_all,0.2815,0.62875,2.6768289375305176
ewc_on,42,1.0,T1_all,0.61975,0.87325,1.8420144324302674
ewc_on,42,1.0,T2_nonshortcut_normal,0.41933333333333334,0.772,2.1066866998672484
ewc_on,42,1.0,T2_nonshortcut_normal,0.752,0.95,1.1879228426615398
ewc_on,42,1.0,T2_shortcut_masked,0.232,0.592,2.889012128829956
ewc_on,42,1.0,T2_shortcut_masked,0.532,0.86,2.4468985786437987
ewc_on,42,1.0,T2_shortcut_normal,0.176,0.45,3.3076192455291746
ewc_on,42,1.0,T2_shortcut_normal,0.438,0.762,3.3474672412872315
ewc_on,42,2.0,T1_all,0.3405,0.69625,2.3922889461517336
ewc_on,42,2.0,T1_all,0.6335,0.89325,1.6587800016403198
ewc_on,42,2.0,T2_nonshortcut_normal,0.4786666666666667,0.78,1.9618441336949666
ewc_on,42,2.0,T2_nonshortcut_normal,0.754,0.9406666666666667,1.022407347758611
ewc_on,42,2.0,T2_shortcut_masked,0.288,0.698,2.526804843902588
ewc_on,42,2.0,T2_shortcut_masked,0.69,0.916,1.3504567394256592
ewc_on,42,2.0,T2_shortcut_normal,0.214,0.568,2.9953780593872072
ewc_on,42,2.0,T2_shortcut_normal,0.596,0.864,1.8267904205322265
ewc_on,42,3.0,T1_all,0.389,0.7405,2.226417001724243
ewc_on,42,3.0,T1_all,0.654,0.90475,1.5829641880989074
ewc_on,42,3.0,T2_nonshortcut_normal,0.518,0.842,1.656223375638326
ewc_on,42,3.0,T2_nonshortcut_normal,0.75,0.936,1.136866357644399
ewc_on,42,3.0,T2_shortcut_masked,0.286,0.698,2.5867104988098144
ewc_on,42,3.0,T2_shortcut_masked,0.65,0.914,1.485933373451233
ewc_on,42,3.0,T2_shortcut_normal,0.214,0.572,3.0934267044067383
ewc_on,42,3.0,T2_shortcut_normal,0.562,0.83,2.119152647972107
ewc_on,42,4.0,T1_all,0.3855,0.7575,2.2457241764068603
ewc_on,42,4.0,T1_all,0.65325,0.901,1.5632327971458435
ewc_on,42,4.0,T2_nonshortcut_normal,0.5586666666666666,0.8513333333333334,1.5716449592908224
ewc_on,42,4.0,T2_nonshortcut_normal,0.7886666666666666,0.9493333333333334,0.8843571965297063
ewc_on,42,4.0,T2_shortcut_masked,0.38,0.772,2.166576508522034
ewc_on,42,4.0,T2_shortcut_masked,0.656,0.91,1.5103002023696899
ewc_on,42,4.0,T2_shortcut_normal,0.302,0.666,2.6870155906677247
ewc_on,42,4.0,T2_shortcut_normal,0.566,0.826,2.059578368186951
ewc_on,42,5.0,T1_all,0.447,0.78325,2.0175678968429565
ewc_on,42,5.0,T1_all,0.651,0.8995,1.6085345258712769
ewc_on,42,5.0,T2_nonshortcut_normal,0.5886666666666667,0.8706666666666667,1.428482206026713
ewc_on,42,5.0,T2_nonshortcut_normal,0.7613333333333333,0.936,1.0821654177506765
ewc_on,42,5.0,T2_shortcut_masked,0.364,0.7,2.4688303871154784
ewc_on,42,5.0,T2_shortcut_masked,0.624,0.86,1.7872123622894287
ewc_on,42,5.0,T2_shortcut_normal,0.196,0.558,3.2163402366638185
ewc_on,42,5.0,T2_shortcut_normal,0.49,0.756,2.692463788986206
ewc_on,42,6.0,T1_all,0.50125,0.824,1.812263072013855
ewc_on,42,6.0,T1_all,0.66675,0.90575,1.5213007626533508
ewc_on,42,6.0,T2_nonshortcut_normal,0.608,0.87,1.3695708079338074
ewc_on,42,6.0,T2_nonshortcut_normal,0.7713333333333333,0.9433333333333334,1.024504829565684
ewc_on,42,6.0,T2_shortcut_masked,0.416,0.784,2.051653504371643
ewc_on,42,6.0,T2_shortcut_masked,0.654,0.914,1.4673032426834107
ewc_on,42,6.0,T2_shortcut_normal,0.324,0.662,2.557901184082031
ewc_on,42,6.0,T2_shortcut_normal,0.56,0.818,2.199589867591858
ewc_on,42,7.0,T1_all,0.49425,0.83325,1.7684937982559203
ewc_on,42,7.0,T1_all,0.64825,0.8995,1.6051648983955382
ewc_on,42,7.0,T2_nonshortcut_normal,0.59,0.8513333333333334,1.4745370353062948
ewc_on,42,7.0,T2_nonshortcut_normal,0.77,0.9466666666666667,0.9733545241355896
ewc_on,42,7.0,T2_shortcut_masked,0.338,0.638,2.6930227699279787
ewc_on,42,7.0,T2_shortcut_masked,0.688,0.906,1.3587184314727783
ewc_on,42,7.0,T2_shortcut_normal,0.234,0.524,3.3048521099090578
ewc_on,42,7.0,T2_shortcut_normal,0.582,0.838,1.9245035305023193
ewc_on,42,8.0,T1_all,0.50525,0.83075,1.8189012002944946
ewc_on,42,8.0,T1_all,0.6585,0.90475,1.5228682894706727
ewc_on,42,8.0,T2_nonshortcut_normal,0.6273333333333333,0.876,1.3731702919006348
ewc_on,42,8.0,T2_nonshortcut_normal,0.782,0.9406666666666667,0.9913606000741323
ewc_on,42,8.0,T2_shortcut_masked,0.528,0.854,1.6003797721862794
ewc_on,42,8.0,T2_shortcut_masked,0.642,0.91,1.4720081253051758
ewc_on,42,8.0,T2_shortcut_normal,0.426,0.77,2.1198316497802736
ewc_on,42,8.0,T2_shortcut_normal,0.556,0.838,2.017612056732178
ewc_on,42,9.0,T1_all,0.54,0.847,1.672265260219574
