method,seed,epoch_eff,split,acc,top5,loss
sgd,42,0.0,T1_all,0.215,0.54025,2.9520492095947266
sgd,42,0.0,T1_all,0.6525,0.89925,1.4924968740940094
sgd,42,0.0,T2_nonshortcut_normal,0.358,0.6726666666666666,2.4964628518422445
sgd,42,0.0,T2_nonshortcut_normal,0.7493333333333333,0.938,1.0349490101337433
sgd,42,0.0,T2_shortcut_masked,0.178,0.526,3.123876377105713
sgd,42,0.0,T2_shortcut_masked,0.642,0.872,1.666188316345215
sgd,42,0.0,T2_shortcut_normal,0.092,0.276,3.8618009834289553
sgd,42,0.0,T2_shortcut_normal,0.5,0.788,2.4123021450042725
sgd,42,1.0,T1_all,0.26275,0.60975,2.7525241317749023
sgd,42,1.0,T1_all,0.649,0.89325,1.6373202266693114
sgd,42,1.0,T2_nonshortcut_normal,0.42533333333333334,0.7526666666666667,2.112518834114075
sgd,42,1.0,T2_nonshortcut_normal,0.7513333333333333,0.946,1.0592086600065231
sgd,42,1.0,T2_shortcut_masked,0.218,0.564,2.989151355743408
sgd,42,1.0,T2_shortcut_masked,0.544,0.848,2.1850490379333496
sgd,42,1.0,T2_shortcut_normal,0.15,0.456,3.387027820587158
sgd,42,1.0,T2_shortcut_normal,0.446,0.772,2.950087800979614
sgd,42,2.0,T1_all,0.32975,0.6855,2.4905590410232543
sgd,42,2.0,T1_all,0.648,0.901,1.558214836359024
sgd,42,2.0,T2_nonshortcut_normal,0.484,0.7886666666666666,1.904951805114746
sgd,42,2.0,T2_nonshortcut_normal,0.752,0.9446666666666667,1.1030068363348644
sgd,42,2.0,T2_shortcut_masked,0.298,0.686,2.5932128314971923
sgd,42,2.0,T2_shortcut_masked,0.632,0.902,1.5402345428466797
sgd,42,2.0,T2_shortcut_normal,0.244,0.63,2.8664090881347657
sgd,42,2.0,T2_shortcut_normal,0.56,0.83,2.11296252822876
sgd,42,3.0,T1_all,0.37425,0.71775,2.307936942100525
sgd,42,3.0,T1_all,0.6695,0.907,1.498907670021057
sgd,42,3.0,T2_nonshortcut_normal,0.542,0.8273333333333334,1.6487324151992797
sgd,42,3.0,T2_nonshortcut_normal,0.7666666666666667,0.9466666666666667,0.9876825103759765
sgd,42,3.0,T2_shortcut_masked,0.216,0.638,2.8726002769470216
sgd,42,3.0,T2_shortcut_masked,0.668,0.92,1.3584186697006226
sgd,42,3.0,T2_shortcut_normal,0.18,0.514,3.305799560546875
sgd,42,3.0,T2_shortcut_normal,0.572,0.848,1.9985755939483643
sgd,42,4.0,T1_all,0.3975,0.76025,2.170285713195801
sgd,42,4.0,T1_all,0.6735,0.90475,1.4987412118911743
sgd,42,4.0,T2_nonshortcut_normal,0.548,0.828,1.6648627738952637
