method,seed,epoch_eff,split,acc,top5,loss
gpm,42,0.0,T1_all,0.21775,0.5625,3.012172414779663
gpm,42,0.0,T1_all,0.55225,0.857,1.5961920523643494
gpm,42,0.0,T2_nonshortcut_normal,0.0,0.002,5.078133069356283
gpm,42,0.0,T2_nonshortcut_normal,0.006,0.11933333333333333,5.142927959442138
gpm,42,0.0,T2_shortcut_masked,0.0,0.0,5.029755561828614
gpm,42,0.0,T2_shortcut_masked,0.0,0.02,6.228956508636474
gpm,42,0.0,T2_shortcut_normal,0.0,0.0,4.9490095863342285
gpm,42,0.0,T2_shortcut_normal,0.0,0.016,6.295359470367432
gpm,42,1.0,T1_all,0.2625,0.62425,2.7841851387023926
gpm,42,1.0,T1_all,0.55325,0.85175,1.6090121130943298
gpm,42,1.0,T2_nonshortcut_normal,0.0,0.0,5.397074562072754
gpm,42,1.0,T2_nonshortcut_normal,0.03666666666666667,0.258,4.402099905649821
gpm,42,1.0,T2_shortcut_masked,0.0,0.0,5.30596720123291
gpm,42,1.0,T2_shortcut_masked,0.002,0.09,5.96752938079834
gpm,42,1.0,T2_shortcut_normal,0.0,0.0,5.209813667297364
gpm,42,1.0,T2_shortcut_normal,0.004,0.07,6.076535648345947
gpm,42,2.0,T1_all,0.30275,0.66475,2.6349912748336792
gpm,42,2.0,T1_all,0.5505,0.848,1.622830069541931
gpm,42,2.0,T2_nonshortcut_normal,0.0,0.0,5.703057280222575
gpm,42,2.0,T2_nonshortcut_normal,0.072,0.366,3.9949885336558024
gpm,42,2.0,T2_shortcut_masked,0.0,0.0,5.644094566345215
gpm,42,2.0,T2_shortcut_masked,0.014,0.122,5.8506045913696285
gpm,42,2.0,T2_shortcut_normal,0.0,0.0,5.547265899658203
gpm,42,2.0,T2_shortcut_normal,0.006,0.09,5.969694637298584
gpm,42,3.0,T1_all,0.32875,0.68925,2.499697248458862
gpm,42,3.0,T1_all,0.54925,0.84575,1.6332598428726197
gpm,42,3.0,T2_nonshortcut_normal,0.0,0.0,5.793779865264892
gpm,42,3.0,T2_nonshortcut_normal,0.11133333333333334,0.42933333333333334,3.7685577023824055
gpm,42,3.0,T2_shortcut_masked,0.0,0.0,5.708162887573242
gpm,42,3.0,T2_shortcut_masked,0.022,0.14,5.658457180023193
gpm,42,3.0,T2_shortcut_normal,0.0,0.0,5.648694694519043
gpm,42,3.0,T2_shortcut_normal,0.014,0.122,5.795194232940674
gpm,42,4.0,T1_all,0.35,0.71075,2.4056833276748657
gpm,42,4.0,T1_all,0.54725,0.84375,1.645319435119629
gpm,42,4.0,T2_nonshortcut_normal,0.0,0.0,5.963305742899577
gpm,42,4.0,T2_nonshortcut_normal,0.12466666666666666,0.458,3.6440109519958495
gpm,42,4.0,T2_shortcut_masked,0.0,0.0,5.852444416046143
gpm,42,4.0,T2_shortcut_masked,0.042,0.186,5.431539100646972
gpm,42,4.0,T2_shortcut_normal,0.0,0.0,5.7694647445678715
gpm,42,4.0,T2_shortcut_normal,0.028,0.152,5.573916828155517
gpm,42,5.0,T1_all,0.369,0.73375,2.3499589614868164
gpm,42,5.0,T1_all,0.54625,0.842,1.6534664883613586
gpm,42,5.0,T2_nonshortcut_normal,0.0,0.0,6.0477325604756675
gpm,42,5.0,T2_nonshortcut_normal,0.14,0.484,3.5550107440948486
gpm,42,5.0,T2_shortcut_masked,0.0,0.0,5.956202674865723
gpm,42,5.0,T2_shortcut_masked,0.046,0.198,5.266438690185547
gpm,42,5.0,T2_shortcut_normal,0.0,0.0,5.86887410736084
gpm,42,5.0,T2_shortcut_normal,0.032,0.17,5.410812187194824
gpm,42,6.0,T1_all,0.37625,0.7405,2.308545702934265
gpm,42,6.0,T1_all,0.5455,0.8435,1.6593362779617309
gpm,42,6.0,T2_nonshortcut_normal,0.0,0.0,6.139630184173584
gpm,42,6.0,T2_nonshortcut_normal,0.162,0.5093333333333333,3.396956816355387
gpm,42,6.0,T2_shortcut_masked,0.0,0.0,6.082705570220948
gpm,42,6.0,T2_shortcut_masked,0.054,0.224,5.253117988586426
gpm,42,6.0,T2_shortcut_normal,0.0,0.0,5.988793548583985
gpm,42,6.0,T2_shortcut_normal,0.036,0.202,5.410304794311523
gpm,42,7.0,T1_all,0.39125,0.7525,2.237099328994751
gpm,42,7.0,T1_all,0.544,0.841,1.6677775201797485
gpm,42,7.0,T2_nonshortcut_normal,0.0,0.0,6.157142567952474
gpm,42,7.0,T2_nonshortcut_normal,0.17666666666666667,0.5306666666666666,3.3291202297210694
gpm,42,7.0,T2_shortcut_masked,0.0,0.0,6.121880393981933
gpm,42,7.0,T2_shortcut_masked,0.054,0.246,5.160088768005371
gpm,42,7.0,T2_shortcut_normal,0.0,0.0,5.988939598083496
gpm,42,7.0,T2_shortcut_normal,0.046,0.216,5.3127404251098636
gpm,42,8.0,T1_all,0.4,0.75375,2.2361259574890138
gpm,42,8.0,T1_all,0.54175,0.8415,1.6758396701812743
gpm,42,8.0,T2_nonshortcut_normal,0.0,0.0,6.251541342417399
gpm,42,8.0,T2_nonshortcut_normal,0.20266666666666666,0.5673333333333334,3.1854881083170574
gpm,42,8.0,T2_shortcut_masked,0.0,0.0,6.204889282226563
gpm,42,8.0,T2_shortcut_masked,0.052,0.2,5.396119506835937
gpm,42,8.0,T2_shortcut_normal,0.0,0.0,6.09882755279541
gpm,42,8.0,T2_shortcut_normal,0.042,0.176,5.553449645996094
gpm,42,9.0,T1_all,0.42175,0.7735,2.136398507118225
gpm,42,9.0,T1_all,0.54025,0.8405,1.6799065928459167
gpm,42,9.0,T2_nonshortcut_normal,0.0,0.0,6.252680025736491
gpm,42,9.0,T2_nonshortcut_normal,0.19666666666666666,0.5573333333333333,3.2082092863718668
gpm,42,9.0,T2_shortcut_masked,0.0,0.0,6.161724342346192
gpm,42,9.0,T2_shortcut_masked,0.076,0.244,5.063063056945801
gpm,42,9.0,T2_shortcut_normal,0.0,0.0,6.079231559753418
gpm,42,9.0,T2_shortcut_normal,0.06,0.216,5.223822853088379
gpm,42,10.0,T1_all,0.42325,0.78625,2.1104305534362795
gpm,42,10.0,T1_all,0.54075,0.84075,1.685873906135559
gpm,42,10.0,T2_nonshortcut_normal,0.0,0.0,6.283989621480306
gpm,42,10.0,T2_nonshortcut_normal,0.22933333333333333,0.5773333333333334,3.085839061101278
gpm,42,10.0,T2_shortcut_masked,0.0,0.0,6.259497379302979
gpm,42,10.0,T2_shortcut_masked,0.068,0.24,5.2232674140930175
gpm,42,10.0,T2_shortcut_normal,0.0,0.0,6.188508960723877
gpm,42,10.0,T2_shortcut_normal,0.054,0.204,5.381511192321778
gpm,42,11.0,T1_all,0.441,0.79125,2.0445903854370115
gpm,42,11.0,T1_all,0.54,0.83725,1.6866881232261657
gpm,42,11.0,T2_nonshortcut_normal,0.0,0.0,6.327006394704183
gpm,42,11.0,T2_nonshortcut_normal,0.21866666666666668,0.59,3.062000863393148
gpm,42,11.0,T2_shortcut_masked,0.0,0.0,6.326763851165771
gpm,42,11.0,T2_shortcut_masked,0.076,0.298,5.004132759094238
gpm,42,11.0,T2_shortcut_normal,0.0,0.0,6.253297306060791
gpm,42,11.0,T2_shortcut_normal,0.062,0.248,5.174650966644287
gpm,42,12.0,T1_all,0.44625,0.792,2.033637216567993
gpm,42,12.0,T1_all,0.5365,0.839,1.7008485713005066
gpm,42,12.0,T2_nonshortcut_normal,0.0,0.0,6.39482376352946
gpm,42,12.0,T2_nonshortcut_normal,0.23066666666666666,0.5886666666666667,3.0799075202941895
gpm,42,12.0,T2_shortcut_masked,0.0,0.0,6.351684429168701
gpm,42,12.0,T2_shortcut_masked,0.09,0.278,4.94101993560791
gpm,42,12.0,T2_shortcut_normal,0.0,0.0,6.282985900878907
gpm,42,12.0,T2_shortcut_normal,0.072,0.252,5.111167152404785
gpm,42,13.0,T1_all,0.447,0.7955,2.0009438219070437
gpm,42,13.0,T1_all,0.538,0.83575,1.6988784942626953
gpm,42,13.0,T2_nonshortcut_normal,0.0,0.0,6.4565839627583825
gpm,42,13.0,T2_nonshortcut_normal,0.25,0.6013333333333334,2.9645600280761717
gpm,42,13.0,T2_shortcut_masked,0.0,0.0,6.4278704490661625
gpm,42,13.0,T2_shortcut_masked,0.074,0.256,5.098225254058838
gpm,42,13.0,T2_shortcut_normal,0.0,0.0,6.363404411315918
gpm,42,13.0,T2_shortcut_normal,0.062,0.232,5.259090454101562
gpm,42,14.0,T1_all,0.462,0.80275,1.9517318201065064
gpm,42,14.0,T1_all,0.53475,0.83825,1.7041198887825013
gpm,42,14.0,T2_nonshortcut_normal,0.0,0.0,6.4266447245279945
gpm,42,14.0,T2_nonshortcut_normal,0.252,0.618,2.960005095163981
gpm,42,14.0,T2_shortcut_masked,0.0,0.0,6.418374996185303
gpm,42,14.0,T2_shortcut_masked,0.086,0.272,4.968706016540527
gpm,42,14.0,T2_shortcut_normal,0.0,0.0,6.333117740631104
gpm,42,14.0,T2_shortcut_normal,0.072,0.25,5.141351181030274
gpm,42,15.0,T1_all,0.47275,0.80325,1.9537089252471924
gpm,42,15.0,T1_all,0.53375,0.83575,1.7066525936126709
gpm,42,15.0,T2_nonshortcut_normal,0.0,0.0,6.429847820281982
gpm,42,15.0,T2_nonshortcut_normal,0.2713333333333333,0.612,2.9108657042185464
gpm,42,15.0,T2_shortcut_masked,0.0,0.0,6.417916542053223
gpm,42,15.0,T2_shortcut_masked,0.082,0.276,5.053439819335938
gpm,42,15.0,T2_shortcut_normal,0.0,0.0,6.3243719100952145
gpm,42,15.0,T2_shortcut_normal,0.074,0.242,5.217256553649903
gpm,42,16.0,T1_all,0.4725,0.81175,1.9055084218978882
gpm,42,16.0,T1_all,0.5305,0.8345,1.7170525641441345
gpm,42,16.0,T2_nonshortcut_normal,0.0,0.0,6.486154744466146
gpm,42,16.0,T2_nonshortcut_normal,0.286,0.6333333333333333,2.835763235727946
gpm,42,16.0,T2_shortcut_masked,0.0,0.0,6.499290885925293
gpm,42,16.0,T2_shortcut_masked,0.08,0.256,5.081888820648193
gpm,42,16.0,T2_shortcut_normal,0.0,0.0,6.43883385848999
gpm,42,16.0,T2_shortcut_normal,0.068,0.248,5.255265686035156
gpm,42,17.0,T1_all,0.474,0.8135,1.9099031600952148
gpm,42,17.0,T1_all,0.5305,0.83575,1.7176111660003661
gpm,42,17.0,T2_nonshortcut_normal,0.0,0.0,6.568749154408772
gpm,42,17.0,T2_nonshortcut_normal,0.282,0.632,2.8355422649383546
gpm,42,17.0,T2_shortcut_masked,0.0,0.0,6.557409324645996
gpm,42,17.0,T2_shortcut_masked,0.084,0.294,4.985834716796875
gpm,42,17.0,T2_shortcut_normal,0.0,0.0,6.4712970886230465
gpm,42,17.0,T2_shortcut_normal,0.072,0.262,5.15635514831543
gpm,42,18.0,T1_all,0.472,0.81225,1.892011004447937
gpm,42,18.0,T1_all,0.52775,0.83425,1.7287369575500489
gpm,42,18.0,T2_nonshortcut_normal,0.0,0.0,6.6198838818868
gpm,42,18.0,T2_nonshortcut_normal,0.2926666666666667,0.636,2.8019171422322593
gpm,42,18.0,T2_shortcut_masked,0.0,0.0,6.584501956939698
gpm,42,18.0,T2_shortcut_masked,0.078,0.266,5.047922294616699
gpm,42,18.0,T2_shortcut_normal,0.0,0.0,6.557770057678223
gpm,42,18.0,T2_shortcut_normal,0.072,0.256,5.220926826477051
gpm,42,19.0,T1_all,0.478,0.81975,1.8677760725021362
gpm,42,19.0,T1_all,0.5255,0.82975,1.7368976783752441
gpm,42,19.0,T2_nonshortcut_normal,0.0,0.0,6.631100480397542
gpm,42,19.0,T2_nonshortcut_normal,0.284,0.6326666666666667,2.871401408513387
gpm,42,19.0,T2_shortcut_masked,0.0,0.0,6.642284759521484
gpm,42,19.0,T2_shortcut_masked,0.098,0.316,4.834626731872558
gpm,42,19.0,T2_shortcut_normal,0.0,0.0,6.58150154876709
gpm,42,19.0,T2_shortcut_normal,0.082,0.274,5.012345767974853
gpm,42,20.0,T1_all,0.48225,0.8205,1.8584320220947266
gpm,42,20.0,T1_all,0.5235,0.829,1.7369545698165894
gpm,42,20.0,T2_nonshortcut_normal,0.0,0.0,6.613465446472168
gpm,42,20.0,T2_nonshortcut_normal,0.31533333333333335,0.654,2.7419455347061157
gpm,42,20.0,T2_shortcut_masked,0.0,0.0,6.646772342681885
gpm,42,20.0,T2_shortcut_masked,0.094,0.318,4.87411222076416
gpm,42,20.0,T2_shortcut_normal,0.0,0.0,6.559972652435302
gpm,42,20.0,T2_shortcut_normal,0.082,0.278,5.039912506103516
gpm,42,21.0,T1_all,0.48675,0.826,1.8371860246658325
gpm,42,21.0,T1_all,0.5235,0.829,1.742440812110901
gpm,42,21.0,T2_nonshortcut_normal,0.0,0.0,6.608822052001953
gpm,42,21.0,T2_nonshortcut_normal,0.308,0.6533333333333333,2.725901982307434
gpm,42,21.0,T2_shortcut_masked,0.0,0.0,6.6035124244689944
gpm,42,21.0,T2_shortcut_masked,0.11,0.33,4.739017269134521
gpm,42,21.0,T2_shortcut_normal,0.0,0.0,6.587977935791016
gpm,42,21.0,T2_shortcut_normal,0.088,0.298,4.895396720886231
gpm,42,22.0,T1_all,0.4965,0.82425,1.8327243928909303
gpm,42,22.0,T1_all,0.5225,0.8285,1.7465207118988038
gpm,42,22.0,T2_nonshortcut_normal,0.0,0.0,6.757120604197184
gpm,42,22.0,T2_nonshortcut_normal,0.31733333333333336,0.6586666666666666,2.6944017270406087
gpm,42,22.0,T2_shortcut_masked,0.0,0.0,6.713908359527588
gpm,42,22.0,T2_shortcut_masked,0.098,0.346,4.766109886169434
gpm,42,22.0,T2_shortcut_normal,0.0,0.0,6.659811794281006
gpm,42,22.0,T2_shortcut_normal,0.086,0.288,4.931879127502442
gpm,42,23.0,T1_all,0.49675,0.83275,1.7933510804176331
gpm,42,23.0,T1_all,0.5245,0.829,1.7427955541610718
gpm,42,23.0,T2_nonshortcut_normal,0.0,0.0,6.669694632212321
gpm,42,23.0,T2_nonshortcut_normal,0.3293333333333333,0.664,2.641818818092346
gpm,42,23.0,T2_shortcut_masked,0.0,0.0,6.713550178527832
gpm,42,23.0,T2_shortcut_masked,0.112,0.322,4.73028944015503
gpm,42,23.0,T2_shortcut_normal,0.0,0.0,6.706206298828125
gpm,42,23.0,T2_shortcut_normal,0.088,0.278,4.909576965332032
gpm,42,24.0,T1_all,0.49925,0.82875,1.7855696897506714
gpm,42,24.0,T1_all,0.52525,0.8265,1.7522848157882691
gpm,42,24.0,T2_nonshortcut_normal,0.0,0.0,6.658161922454834
gpm,42,24.0,T2_nonshortcut_normal,0.3466666666666667,0.6853333333333333,2.5752852993011475
gpm,42,24.0,T2_shortcut_masked,0.0,0.0,6.6593486633300785
gpm,42,24.0,T2_shortcut_masked,0.1,0.298,4.8915277633667
gpm,42,24.0,T2_shortcut_normal,0.0,0.0,6.632947750091553
gpm,42,24.0,T2_shortcut_normal,0.08,0.26,5.062243671417236
gpm,42,25.0,T1_all,0.508,0.8235,1.7964014167785645
