method,seed,epoch_eff,split,acc,top5,loss
scratch_t2,42,0.0,T1_all,0.13175,0.45075,3.3827451076507566
scratch_t2,42,0.0,T2_nonshortcut_normal,0.17666666666666667,0.4646666666666667,3.3752146549224853
scratch_t2,42,0.0,T2_shortcut_masked,0.122,0.36,3.4757543601989744
scratch_t2,42,0.0,T2_shortcut_normal,0.036,0.15,4.2315594100952145
scratch_t2,42,1.0,T1_all,0.18925,0.52125,3.113702169418335
scratch_t2,42,1.0,T2_nonshortcut_normal,0.2673333333333333,0.6893333333333334,2.681990198135376
scratch_t2,42,1.0,T2_shortcut_masked,0.164,0.424,3.290176902770996
scratch_t2,42,1.0,T2_shortcut_normal,0.096,0.292,3.645439500808716
scratch_t2,42,2.0,T1_all,0.22875,0.55625,2.9411899013519287
scratch_t2,42,2.0,T2_nonshortcut_normal,0.374,0.7393333333333333,2.248977727254232
scratch_t2,42,2.0,T2_shortcut_masked,0.09,0.466,3.2768397407531737
scratch_t2,42,2.0,T2_shortcut_normal,0.056,0.36,3.5811215991973877
scratch_t2,42,3.0,T1_all,0.2685,0.62275,2.7387112827301023
scratch_t2,42,3.0,T2_nonshortcut_normal,0.43066666666666664,0.784,2.0577870925267536
scratch_t2,42,3.0,T2_shortcut_masked,0.086,0.45,3.3434344978332518
scratch_t2,42,3.0,T2_shortcut_normal,0.076,0.37,3.4931628761291504
scratch_t2,42,4.0,T1_all,0.2195,0.52875,3.2654717655181886
scratch_t2,42,4.0,T2_nonshortcut_normal,0.27066666666666667,0.6073333333333333,3.1611180051167804
scratch_t2,42,4.0,T2_shortcut_masked,0.224,0.58,2.889241910934448
scratch_t2,42,4.0,T2_shortcut_normal,0.166,0.45,3.4054762935638427
scratch_t2,42,5.0,T1_all,0.29975,0.68225,2.638669556617737
scratch_t2,42,5.0,T2_nonshortcut_normal,0.42133333333333334,0.76,2.132375601132711
scratch_t2,42,5.0,T2_shortcut_masked,0.242,0.614,2.736926420211792
scratch_t2,42,5.0,T2_shortcut_normal,0.122,0.45,3.374136384963989
scratch_t2,42,6.0,T1_all,0.32825,0.69425,2.4855512285232546
