method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score,strategy,backbone
scratch_t2,42,T1_all,49,0.6,0.8705,0.35,0.65,0.25,0.2205,1.6749805240631104,,0.0,0.4367693942614241,,scratch_t2,resnet18
scratch_t2,42,T2_nonshortcut_normal,49,0.7066666666666667,0.9193333333333332,0.35,0.65,0.3566666666666667,0.2693333333333333,1.1592963687578837,,0.0,0.4367693942614241,,scratch_t2,resnet18
scratch_t2,42,T2_shortcut_masked,49,0.614,0.88,0.35,0.65,0.264,0.2299999999999999,1.478623085975647,,0.0,0.4367693942614241,,scratch_t2,resnet18
scratch_t2,42,T2_shortcut_normal,49,0.548,0.816,0.35,0.65,0.198,0.1659999999999999,1.929759271621704,,0.0,0.4367693942614241,,scratch_t2,resnet18
dgr,42,T1_all,49,0.4335,0.72325,0.35,0.65,0.0835,0.0732499999999999,3.049708927154541,,0.0,0.4291845493562231,,dgr,resnet18
dgr,42,T2_nonshortcut_normal,49,0.4466666666666666,0.7186666666666667,0.35,0.65,0.0966666666666666,0.0686666666666666,3.051385336558024,,0.0,0.4291845493562231,,dgr,resnet18
dgr,42,T2_shortcut_masked,49,0.18,0.508,0.35,0.65,-0.1699999999999999,-0.142,4.912769996643067,,0.0,0.4291845493562231,,dgr,resnet18
dgr,42,T2_shortcut_normal,49,0.134,0.42,0.35,0.65,-0.2159999999999999,-0.23,5.746853965759278,,0.0,0.4291845493562231,,dgr,resnet18
gpm,42,T1_all,49,0.68575,0.9085,0.35,0.65,0.33575,0.2584999999999999,1.5177930188179016,,0.0,0.4192139737991265,,gpm,resnet18
gpm,42,T2_nonshortcut_normal,49,0.7893333333333333,0.9473333333333334,0.35,0.65,0.4393333333333333,0.2973333333333333,0.933272792259852,,0.0,0.4192139737991265,,gpm,resnet18
gpm,42,T2_shortcut_masked,49,0.706,0.934,0.35,0.65,0.356,0.284,1.2506264190673828,,0.0,0.4192139737991265,,gpm,resnet18
gpm,42,T2_shortcut_normal,49,0.608,0.852,0.35,0.65,0.258,0.2019999999999999,2.0049846334457397,,0.0,0.4192139737991265,,gpm,resnet18
