method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score,strategy,backbone
scratch_t2,42,T1_all,49,0.59525,0.8625,0.35,0.65,0.2452499999999999,0.2125,1.7192247738838196,,0.0,0.4064408661854525,,scratch_t2,resnet18
scratch_t2,42,T2_nonshortcut_normal,49,0.7126666666666667,0.9193333333333332,0.35,0.65,0.3626666666666667,0.2693333333333333,1.1840540811220803,,0.0,0.4064408661854525,,scratch_t2,resnet18
scratch_t2,42,T2_shortcut_masked,49,0.632,0.882,0.35,0.65,0.282,0.2319999999999999,1.4880738849639892,,0.0,0.4064408661854525,,scratch_t2,resnet18
scratch_t2,42,T2_shortcut_normal,49,0.488,0.796,0.35,0.65,0.138,0.146,2.0968959188461302,,0.0,0.4064408661854525,,scratch_t2,resnet18
sgd,42,T1_all,49,0.68875,0.9095,0.35,0.65,0.33875,0.2594999999999999,1.563984275817871,,0.0,0.4085487077534791,,sgd,resnet18
sgd,42,T2_nonshortcut_normal,49,0.792,0.9513333333333334,0.35,0.65,0.442,0.3013333333333333,0.9920269582271576,,0.0,0.4085487077534791,,sgd,resnet18
sgd,42,T2_shortcut_masked,49,0.712,0.934,0.35,0.65,0.362,0.284,1.2633969411849977,,0.0,0.4085487077534791,,sgd,resnet18
sgd,42,T2_shortcut_normal,49,0.616,0.852,0.35,0.65,0.266,0.2019999999999999,1.9717227611541748,,0.0,0.4085487077534791,,sgd,resnet18
ewc_on,42,T1_all,49,0.6985,0.91975,0.35,0.65,0.3485,0.2697499999999999,1.3912138941287997,,0.0,0.4360301034807149,,ewc_on,resnet18
ewc_on,42,T2_nonshortcut_normal,49,0.7993333333333333,0.9526666666666668,0.35,0.65,0.4493333333333333,0.3026666666666666,0.9156693166097004,,0.0,0.4360301034807149,,ewc_on,resnet18
ewc_on,42,T2_shortcut_masked,49,0.734,0.942,0.35,0.65,0.384,0.2919999999999999,1.123759617805481,,0.0,0.4360301034807149,,ewc_on,resnet18
ewc_on,42,T2_shortcut_normal,49,0.654,0.894,0.35,0.65,0.304,0.244,1.5597981548309323,,0.0,0.4360301034807149,,ewc_on,resnet18
derpp,42,T1_all,49,0.68125,0.90475,0.35,0.65,0.33125,0.25475,1.2600960230827332,,0.0,0.4228880157170923,,derpp,resnet18
derpp,42,T2_nonshortcut_normal,49,0.7913333333333333,0.9493333333333334,0.35,0.65,0.4413333333333333,0.2993333333333333,0.8280044136842092,,0.0,0.4228880157170923,,derpp,resnet18
derpp,42,T2_shortcut_masked,49,0.698,0.902,0.35,0.65,0.348,0.252,1.1403484325408937,,0.0,0.4228880157170923,,derpp,resnet18
derpp,42,T2_shortcut_normal,49,0.596,0.826,0.35,0.65,0.246,0.1759999999999999,1.5851608333587646,,0.0,0.4228880157170923,,derpp,resnet18
dgr,42,T1_all,49,0.64175,0.87075,0.35,0.65,0.29175,0.22075,1.5925320048332214,,0.0,0.4240687679083094,,dgr,resnet18
dgr,42,T2_nonshortcut_normal,49,0.722,0.9233333333333332,0.35,0.65,0.372,0.2733333333333333,1.1208872096538545,,0.0,0.4240687679083094,,dgr,resnet18
dgr,42,T2_shortcut_masked,49,0.526,0.798,0.35,0.65,0.176,0.148,2.0296194438934325,,0.0,0.4240687679083094,,dgr,resnet18
dgr,42,T2_shortcut_normal,49,0.404,0.65,0.35,0.65,0.054,0.0,3.170223617553711,,0.0,0.4240687679083094,,dgr,resnet18
scratch_t2,43,T1_all,49,0.5985,0.869,0.35,0.65,0.2485,0.2189999999999999,1.6892471942901612,,0.0,0.3930205949656751,,scratch_t2,resnet18
scratch_t2,43,T2_nonshortcut_normal,49,0.7073333333333334,0.926,0.35,0.65,0.3573333333333334,0.276,1.1464940404891968,,0.0,0.3930205949656751,,scratch_t2,resnet18
scratch_t2,43,T2_shortcut_masked,49,0.622,0.876,0.35,0.65,0.272,0.2259999999999999,1.5092083959579468,,0.0,0.3930205949656751,,scratch_t2,resnet18
