method,seed,subset,epoch,top1,top5,top1_reference,top5_reference,top1_delta,top5_delta,loss,adaptation_delay,performance_deficit,shortcut_feature_reliance,eri_score,strategy,backbone
scratch_t2,42,T2_shortcut_normal,49,0.488,0.796,0.35,0.65,0.138,0.146,2.0968959188461302,,0.0,0.4064408661854525,,scratch_t2,resnet18
sgd,42,T2_shortcut_normal,49,0.616,0.852,0.35,0.65,0.266,0.2019999999999999,1.9717227611541748,,0.0,0.4085487077534791,,sgd,resnet18
ewc_on,42,T2_shortcut_normal,49,0.654,0.894,0.35,0.65,0.304,0.244,1.5597981548309323,,0.0,0.4360301034807149,,ewc_on,resnet18
derpp,42,T2_shortcut_normal,49,0.596,0.826,0.35,0.65,0.246,0.1759999999999999,1.5851608333587646,,0.0,0.4228880157170923,,derpp,resnet18
dgr,42,T2_shortcut_normal,49,0.404,0.65,0.35,0.65,0.054,0.0,3.170223617553711,,0.0,0.4240687679083094,,dgr,resnet18
scratch_t2,43,T2_shortcut_normal,49,0.458,0.766,0.35,0.65,0.108,0.1159999999999999,2.38710458946228,,0.0,0.3930205949656751,,scratch_t2,resnet18
sgd,43,T2_shortcut_normal,49,0.588,0.838,0.35,0.65,0.238,0.1879999999999999,2.0264117374420167,,0.0,0.4279600570613409,,sgd,resnet18
ewc_on,43,T2_shortcut_normal,49,0.6,0.854,0.35,0.65,0.25,0.2039999999999999,1.883703245162964,,0.0,0.4240986717267552,,ewc_on,resnet18
derpp,43,T2_shortcut_normal,49,0.618,0.836,0.35,0.65,0.268,0.1859999999999999,1.5594262351989747,,0.0,0.4310099573257467,,derpp,resnet18
dgr,43,T2_shortcut_normal,49,0.374,0.646,0.35,0.65,0.024,-0.004,3.23999369430542,,0.0,0.4091580502215657,,dgr,resnet18
scratch_t2,44,T2_shortcut_normal,49,0.518,0.796,0.35,0.65,0.168,0.146,2.134347403526306,,0.0,0.4255202628696604,,scratch_t2,resnet18
sgd,44,T2_shortcut_normal,49,0.596,0.83,0.35,0.65,0.246,0.1799999999999999,2.040716215133667,,0.0,0.4423897581792318,,sgd,resnet18
ewc_on,44,T2_shortcut_normal,49,0.564,0.822,0.35,0.65,0.2139999999999999,0.1719999999999999,2.0547456350326536,,0.0,0.4227799227799227,,ewc_on,resnet18
derpp,44,T2_shortcut_normal,49,0.59,0.834,0.35,0.65,0.24,0.1839999999999999,1.6160860595703126,,0.0,0.4366729678638941,,derpp,resnet18
dgr,44,T2_shortcut_normal,49,0.366,0.622,0.35,0.65,0.016,-0.028,3.1865070667266844,,0.0,0.4252983293556086,,dgr,resnet18
