method,seed,epoch_eff,split,acc,top5,loss
derpp,44,0.0,T1_all,0.233,0.55475,2.9226969261169433
derpp,44,0.0,T1_all,0.66,0.895,1.3774686388969422
derpp,44,0.0,T2_nonshortcut_normal,0.37066666666666664,0.7126666666666667,2.3624745966593426
derpp,44,0.0,T2_nonshortcut_normal,0.778,0.944,0.9073009090423584
derpp,44,0.0,T2_shortcut_masked,0.274,0.65,2.6756552867889405
derpp,44,0.0,T2_shortcut_masked,0.616,0.874,1.5560208463668823
derpp,44,0.0,T2_shortcut_normal,0.228,0.53,3.0980710315704347
derpp,44,0.0,T2_shortcut_normal,0.51,0.788,2.039318283081055
derpp,44,1.0,T1_all,0.28575,0.65275,2.656011490821838
derpp,44,1.0,T1_all,0.65525,0.8845,1.4189208426475526
derpp,44,1.0,T2_nonshortcut_normal,0.33466666666666667,0.684,2.4364233760833742
derpp,44,1.0,T2_nonshortcut_normal,0.78,0.948,0.875522199789683
derpp,44,1.0,T2_shortcut_masked,0.264,0.584,2.856631944656372
derpp,44,1.0,T2_shortcut_masked,0.598,0.862,1.612227912902832
derpp,44,1.0,T2_shortcut_normal,0.186,0.484,3.260559003829956
derpp,44,1.0,T2_shortcut_normal,0.528,0.79,1.9935983715057373
derpp,44,2.0,T1_all,0.29275,0.602,3.0290746822357177
derpp,44,2.0,T1_all,0.64825,0.89475,1.4317850155830383
derpp,44,2.0,T2_nonshortcut_normal,0.3,0.6026666666666667,3.1014817644755044
derpp,44,2.0,T2_nonshortcut_normal,0.774,0.9453333333333334,0.87946511054039
derpp,44,2.0,T2_shortcut_masked,0.266,0.494,3.4350368614196776
derpp,44,2.0,T2_shortcut_masked,0.644,0.88,1.393845682144165
derpp,44,2.0,T2_shortcut_normal,0.212,0.422,3.7012965660095216
derpp,44,2.0,T2_shortcut_normal,0.584,0.836,1.7052406606674195
derpp,44,3.0,T1_all,0.43125,0.77575,2.0747504434585573
derpp,44,3.0,T1_all,0.662,0.88875,1.3769824810028075
derpp,44,3.0,T2_nonshortcut_normal,0.522,0.8306666666666667,1.6779125461578368
derpp,44,3.0,T2_nonshortcut_normal,0.7633333333333333,0.934,0.9337062045733134
derpp,44,3.0,T2_shortcut_masked,0.456,0.76,2.0464780950546264
derpp,44,3.0,T2_shortcut_masked,0.652,0.884,1.3691504163742065
derpp,44,3.0,T2_shortcut_normal,0.332,0.652,2.562733766555786
derpp,44,3.0,T2_shortcut_normal,0.55,0.808,1.7225922174453736
derpp,44,4.0,T1_all,0.463,0.79375,1.9530371408462524
derpp,44,4.0,T1_all,0.662,0.89025,1.358974603176117
derpp,44,4.0,T2_nonshortcut_normal,0.59,0.8713333333333333,1.4841507449150086
derpp,44,4.0,T2_nonshortcut_normal,0.7733333333333333,0.9393333333333334,0.8932285862763722
derpp,44,4.0,T2_shortcut_masked,0.436,0.756,2.1176891193389893
derpp,44,4.0,T2_shortcut_masked,0.678,0.906,1.2490863742828369
derpp,44,4.0,T2_shortcut_normal,0.374,0.66,2.46092010307312
derpp,44,4.0,T2_shortcut_normal,0.596,0.834,1.5852767105102539
derpp,44,5.0,T1_all,0.50475,0.82025,1.8099944095611573
