method,seed,epoch_eff,split,acc,top5,loss
dgr,43,0.0,T1_all,0.18675,0.5005,3.113062650680542
dgr,43,0.0,T1_all,0.59625,0.83925,1.8442470445632935
dgr,43,0.0,T2_nonshortcut_normal,0.294,0.6546666666666666,2.674284699122111
dgr,43,0.0,T2_nonshortcut_normal,0.6553333333333333,0.886,1.5045574336051941
dgr,43,0.0,T2_shortcut_masked,0.192,0.564,2.985826541900635
dgr,43,0.0,T2_shortcut_masked,0.362,0.646,3.290147647857666
dgr,43,0.0,T2_shortcut_normal,0.106,0.318,3.699023281097412
dgr,43,0.0,T2_shortcut_normal,0.182,0.422,5.2624459609985355
dgr,43,1.0,T1_all,0.26875,0.6145,2.7828210487365723
dgr,43,1.0,T1_all,0.57675,0.83575,1.9184339303970337
dgr,43,1.0,T2_nonshortcut_normal,0.38533333333333336,0.7266666666666667,2.2767355403900145
dgr,43,1.0,T2_nonshortcut_normal,0.6873333333333334,0.914,1.2678229104677836
dgr,43,1.0,T2_shortcut_masked,0.236,0.616,2.783881404876709
dgr,43,1.0,T2_shortcut_masked,0.476,0.748,2.436817960739136
dgr,43,1.0,T2_shortcut_normal,0.166,0.5,3.1822733364105225
dgr,43,1.0,T2_shortcut_normal,0.282,0.558,3.9653602523803713
dgr,43,2.0,T1_all,0.27225,0.628,2.790570478439331
dgr,43,2.0,T1_all,0.60525,0.85625,1.7069450173377991
dgr,43,2.0,T2_nonshortcut_normal,0.49866666666666665,0.8086666666666666,1.8199452600479127
dgr,43,2.0,T2_nonshortcut_normal,0.702,0.904,1.2356420869827272
dgr,43,2.0,T2_shortcut_masked,0.274,0.672,2.5265918006896975
dgr,43,2.0,T2_shortcut_masked,0.522,0.808,2.146927927017212
dgr,43,2.0,T2_shortcut_normal,0.228,0.596,2.8303517608642577
dgr,43,2.0,T2_shortcut_normal,0.372,0.638,3.319886323928833
dgr,43,3.0,T1_all,0.3515,0.70675,2.362628911018372
dgr,43,3.0,T1_all,0.61175,0.8625,1.7386145334243774
dgr,43,3.0,T2_nonshortcut_normal,0.518,0.8186666666666667,1.746336168607076
dgr,43,3.0,T2_nonshortcut_normal,0.684,0.9013333333333333,1.3200754075050354
dgr,43,3.0,T2_shortcut_masked,0.344,0.682,2.4711710109710694
dgr,43,3.0,T2_shortcut_masked,0.436,0.748,2.623523036956787
dgr,43,3.0,T2_shortcut_normal,0.204,0.508,3.1125372447967528
dgr,43,3.0,T2_shortcut_normal,0.266,0.52,4.343035697937012
dgr,43,4.0,T1_all,0.37075,0.74275,2.3231704378128053
dgr,43,4.0,T1_all,0.61625,0.85325,1.7208524255752564
dgr,43,4.0,T2_nonshortcut_normal,0.5433333333333333,0.824,1.7104656171798707
dgr,43,4.0,T2_nonshortcut_normal,0.7273333333333334,0.922,1.0887893323103588
dgr,43,4.0,T2_shortcut_masked,0.296,0.62,2.799482080459595
dgr,43,4.0,T2_shortcut_masked,0.544,0.818,2.045735830307007
dgr,43,4.0,T2_shortcut_normal,0.128,0.304,4.435743183135986
dgr,43,4.0,T2_shortcut_normal,0.342,0.638,3.3518268642425535
dgr,43,5.0,T1_all,0.43375,0.76925,2.0771118116378786
dgr,43,5.0,T1_all,0.60425,0.85925,1.7008824982643127
dgr,43,5.0,T2_nonshortcut_normal,0.5593333333333333,0.8386666666666667,1.5890658356348673
dgr,43,5.0,T2_nonshortcut_normal,0.716,0.9193333333333333,1.18458242837588
dgr,43,5.0,T2_shortcut_masked,0.388,0.728,2.2766684074401855
dgr,43,5.0,T2_shortcut_masked,0.594,0.83,1.7201334915161133
dgr,43,5.0,T2_shortcut_normal,0.236,0.552,3.071533905029297
dgr,43,5.0,T2_shortcut_normal,0.386,0.666,3.00349967956543
dgr,43,6.0,T1_all,0.44325,0.783,2.052958285331726
