method,seed,epoch_eff,split,acc,top5,loss
ewc_on,44,0.0,T1_all,0.19425,0.51,3.0687887077331544
ewc_on,44,0.0,T1_all,0.64075,0.89525,1.5787508764266969
ewc_on,44,0.0,T2_nonshortcut_normal,0.30466666666666664,0.656,2.5712280769348146
ewc_on,44,0.0,T2_nonshortcut_normal,0.7493333333333333,0.9413333333333334,1.0779315337340036
ewc_on,44,0.0,T2_shortcut_masked,0.27,0.656,2.729504600524902
ewc_on,44,0.0,T2_shortcut_masked,0.458,0.798,2.506536418914795
ewc_on,44,0.0,T2_shortcut_normal,0.176,0.506,3.2272905139923096
ewc_on,44,0.0,T2_shortcut_normal,0.3,0.662,3.6310393409729005
ewc_on,44,1.0,T1_all,0.24975,0.61075,2.7958764724731444
ewc_on,44,1.0,T1_all,0.65125,0.8985,1.5630582308769225
ewc_on,44,1.0,T2_nonshortcut_normal,0.3413333333333333,0.716,2.452820906321208
ewc_on,44,1.0,T2_nonshortcut_normal,0.7406666666666667,0.9393333333333334,1.0815685433546702
ewc_on,44,1.0,T2_shortcut_masked,0.332,0.67,2.4643555488586424
ewc_on,44,1.0,T2_shortcut_masked,0.598,0.874,1.7571248254776002
ewc_on,44,1.0,T2_shortcut_normal,0.232,0.588,2.891344696044922
ewc_on,44,1.0,T2_shortcut_normal,0.488,0.766,2.5536948375701902
ewc_on,44,2.0,T1_all,0.3225,0.67725,2.538035261154175
ewc_on,44,2.0,T1_all,0.65325,0.894,1.5975543999671935
ewc_on,44,2.0,T2_nonshortcut_normal,0.4493333333333333,0.7893333333333333,1.991684053738912
ewc_on,44,2.0,T2_nonshortcut_normal,0.756,0.94,1.104495906750361
ewc_on,44,2.0,T2_shortcut_masked,0.408,0.684,2.3449420738220215
ewc_on,44,2.0,T2_shortcut_masked,0.622,0.866,1.9445256042480468
ewc_on,44,2.0,T2_shortcut_normal,0.306,0.542,2.866208683013916
ewc_on,44,2.0,T2_shortcut_normal,0.488,0.762,2.6424150609970094
ewc_on,44,3.0,T1_all,0.366,0.71725,2.3623751888275146
ewc_on,44,3.0,T1_all,0.63375,0.894,1.6554781165122985
ewc_on,44,3.0,T2_nonshortcut_normal,0.48333333333333334,0.8066666666666666,1.8373926731745402
ewc_on,44,3.0,T2_nonshortcut_normal,0.7173333333333334,0.92,1.2767136313915253
ewc_on,44,3.0,T2_shortcut_masked,0.384,0.73,2.244409828186035
ewc_on,44,3.0,T2_shortcut_masked,0.648,0.87,1.7011962633132935
ewc_on,44,3.0,T2_shortcut_normal,0.172,0.47,3.287705509185791
ewc_on,44,3.0,T2_shortcut_normal,0.524,0.788,2.435116744995117
ewc_on,44,4.0,T1_all,0.371,0.7275,2.290244293212891
ewc_on,44,4.0,T1_all,0.6395,0.89475,1.6540510153770447
ewc_on,44,4.0,T2_nonshortcut_normal,0.49066666666666664,0.7866666666666666,1.9026712341308594
ewc_on,44,4.0,T2_nonshortcut_normal,0.72,0.9173333333333333,1.2529100890954334
