method,seed,epoch_eff,split,acc,top5,loss
gpm,42,0.0,T1_all,0.2135,0.52775,2.972132318496704
gpm,42,0.0,T1_all,0.65675,0.9,1.4872459654808043
gpm,42,0.0,T2_nonshortcut_normal,0.3586666666666667,0.6886666666666666,2.4509538720448814
gpm,42,0.0,T2_nonshortcut_normal,0.7666666666666667,0.9413333333333334,0.9777177823384603
gpm,42,0.0,T2_shortcut_masked,0.184,0.52,3.2044458293914797
gpm,42,0.0,T2_shortcut_masked,0.608,0.884,1.617954520225525
gpm,42,0.0,T2_shortcut_normal,0.092,0.3,3.835855770111084
gpm,42,0.0,T2_shortcut_normal,0.524,0.796,2.1776983194351196
gpm,42,1.0,T1_all,0.28225,0.621,2.724522834777832
gpm,42,1.0,T1_all,0.65175,0.89525,1.5467171869277954
gpm,42,1.0,T2_nonshortcut_normal,0.4013333333333333,0.7426666666666667,2.22862414709727
gpm,42,1.0,T2_nonshortcut_normal,0.7766666666666666,0.94,1.0214789831638336
gpm,42,1.0,T2_shortcut_masked,0.214,0.522,3.1264757080078125
gpm,42,1.0,T2_shortcut_masked,0.624,0.892,1.6984668354988097
gpm,42,1.0,T2_shortcut_normal,0.136,0.416,3.4744054832458495
gpm,42,1.0,T2_shortcut_normal,0.552,0.832,2.0844583034515383
gpm,42,2.0,T1_all,0.34425,0.693,2.405464614868164
gpm,42,2.0,T1_all,0.667,0.906,1.4721094012260436
gpm,42,2.0,T2_nonshortcut_normal,0.47933333333333333,0.784,1.972922721862793
gpm,42,2.0,T2_nonshortcut_normal,0.7566666666666667,0.9373333333333334,1.0573573668003082
gpm,42,2.0,T2_shortcut_masked,0.328,0.726,2.4192572593688966
gpm,42,2.0,T2_shortcut_masked,0.664,0.91,1.4654063730239868
gpm,42,2.0,T2_shortcut_normal,0.286,0.644,2.674290319442749
gpm,42,2.0,T2_shortcut_normal,0.566,0.86,1.9213320016860962
gpm,42,3.0,T1_all,0.36325,0.699,2.384140763282776
gpm,42,3.0,T1_all,0.659,0.9025,1.5269347739219665
gpm,42,3.0,T2_nonshortcut_normal,0.528,0.8493333333333334,1.6366532541910808
gpm,42,3.0,T2_nonshortcut_normal,0.7726666666666666,0.942,0.9829396671454111
gpm,42,3.0,T2_shortcut_masked,0.234,0.644,2.8125570125579835
gpm,42,3.0,T2_shortcut_masked,0.588,0.876,1.8693605098724366
gpm,42,3.0,T2_shortcut_normal,0.2,0.558,3.0925763568878173
gpm,42,3.0,T2_shortcut_normal,0.458,0.76,2.689835424423218
gpm,42,4.0,T1_all,0.37475,0.758,2.2334905471801756
gpm,42,4.0,T1_all,0.6265,0.882,1.7829922080039977
gpm,42,4.0,T2_nonshortcut_normal,0.5226666666666666,0.818,1.7592123562494915
gpm,42,4.0,T2_nonshortcut_normal,0.772,0.9473333333333334,0.983164722084999
gpm,42,4.0,T2_shortcut_masked,0.4,0.786,2.1200442123413086
gpm,42,4.0,T2_shortcut_masked,0.606,0.912,1.7969514923095704
gpm,42,4.0,T2_shortcut_normal,0.328,0.694,2.478032224655151
gpm,42,4.0,T2_shortcut_normal,0.552,0.854,2.1526429557800295
gpm,42,5.0,T1_all,0.4505,0.79375,1.9628764991760255
gpm,42,5.0,T1_all,0.64475,0.89675,1.6616564483642577
gpm,42,5.0,T2_nonshortcut_normal,0.5546666666666666,0.8593333333333333,1.5662880919774373
gpm,42,5.0,T2_nonshortcut_normal,0.748,0.9226666666666666,1.14051917441686
gpm,42,5.0,T2_shortcut_masked,0.35,0.718,2.321560888290405
gpm,42,5.0,T2_shortcut_masked,0.596,0.862,1.8953797845840454
gpm,42,5.0,T2_shortcut_normal,0.322,0.656,2.6600335216522217
gpm,42,5.0,T2_shortcut_normal,0.506,0.758,2.616069953918457
gpm,42,6.0,T1_all,0.47,0.80075,1.91690700340271
gpm,42,6.0,T1_all,0.67425,0.9055,1.4927135677337646
gpm,42,6.0,T2_nonshortcut_normal,0.6126666666666667,0.8766666666666667,1.3621605534553527
gpm,42,6.0,T2_nonshortcut_normal,0.7813333333333333,0.9446666666666667,0.9786238397757212
gpm,42,6.0,T2_shortcut_masked,0.382,0.778,2.1348573093414305
gpm,42,6.0,T2_shortcut_masked,0.632,0.904,1.618197762489319
gpm,42,6.0,T2_shortcut_normal,0.276,0.69,2.5869820671081545
gpm,42,6.0,T2_shortcut_normal,0.538,0.814,2.254038444519043
gpm,42,7.0,T1_all,0.5045,0.836,1.765468234539032
gpm,42,7.0,T1_all,0.67075,0.90725,1.5125975470542907
gpm,42,7.0,T2_nonshortcut_normal,0.638,0.8953333333333333,1.2930886583328247
gpm,42,7.0,T2_nonshortcut_normal,0.764,0.9433333333333334,1.0555903129577637
gpm,42,7.0,T2_shortcut_masked,0.346,0.688,2.4429288396835327
gpm,42,7.0,T2_shortcut_masked,0.704,0.914,1.3350644273757934
gpm,42,7.0,T2_shortcut_normal,0.286,0.598,2.857662311553955
gpm,42,7.0,T2_shortcut_normal,0.6,0.858,1.8430712566375733
gpm,42,8.0,T1_all,0.51975,0.841,1.7539058899879456
gpm,42,8.0,T1_all,0.67975,0.9095,1.4852843973636627
gpm,42,8.0,T2_nonshortcut_normal,0.644,0.8846666666666667,1.2944302943547568
gpm,42,8.0,T2_nonshortcut_normal,0.78,0.946,0.9862754287322363
gpm,42,8.0,T2_shortcut_masked,0.498,0.83,1.7549359683990478
gpm,42,8.0,T2_shortcut_masked,0.612,0.888,1.822840588569641
