method,seed,epoch_eff,split,acc,top5,loss
sgd,43,0.0,T1_all,0.1865,0.52575,3.0690223140716553
sgd,43,0.0,T1_all,0.6265,0.8795,1.7905130457878113
sgd,43,0.0,T2_nonshortcut_normal,0.30333333333333334,0.6673333333333333,2.592973304112752
sgd,43,0.0,T2_nonshortcut_normal,0.7546666666666667,0.9406666666666667,1.078095118443171
sgd,43,0.0,T2_shortcut_masked,0.174,0.528,3.137338871002197
sgd,43,0.0,T2_shortcut_masked,0.498,0.79,2.62213490486145
sgd,43,0.0,T2_shortcut_normal,0.122,0.36,3.595185562133789
sgd,43,0.0,T2_shortcut_normal,0.39,0.682,3.502137052536011
sgd,43,1.0,T1_all,0.27675,0.62375,2.712746915817261
sgd,43,1.0,T1_all,0.6465,0.90225,1.5509205071926118
sgd,43,1.0,T2_nonshortcut_normal,0.396,0.742,2.210677137374878
sgd,43,1.0,T2_nonshortcut_normal,0.7666666666666667,0.9306666666666666,1.0199366476535796
sgd,43,1.0,T2_shortcut_masked,0.212,0.648,2.7297454986572265
sgd,43,1.0,T2_shortcut_masked,0.602,0.854,1.7763558597564697
sgd,43,1.0,T2_shortcut_normal,0.196,0.566,2.987651361465454
sgd,43,1.0,T2_shortcut_normal,0.506,0.786,2.397071071624756
sgd,43,2.0,T1_all,0.24975,0.61575,3.062601572036743
sgd,43,2.0,T1_all,0.65275,0.901,1.5796344475746156
sgd,43,2.0,T2_nonshortcut_normal,0.496,0.8106666666666666,1.8585646979014079
sgd,43,2.0,T2_nonshortcut_normal,0.7273333333333334,0.9213333333333333,1.1625913790861766
sgd,43,2.0,T2_shortcut_masked,0.294,0.648,2.6316136646270754
sgd,43,2.0,T2_shortcut_masked,0.606,0.852,1.7908371219635009
sgd,43,2.0,T2_shortcut_normal,0.224,0.548,3.046667865753174
sgd,43,2.0,T2_shortcut_normal,0.52,0.768,2.448586097717285
sgd,43,3.0,T1_all,0.38425,0.72975,2.26462290763855
sgd,43,3.0,T1_all,0.63325,0.88475,1.7089916825294496
sgd,43,3.0,T2_nonshortcut_normal,0.5346666666666666,0.822,1.6948187952041627
