method,seed,epoch_eff,split,acc,top5,loss
scratch_t2,44,0.0,T1_all,0.1205,0.394,3.5065442581176756
scratch_t2,44,0.0,T2_nonshortcut_normal,0.22133333333333333,0.5413333333333333,3.021073308308919
scratch_t2,44,0.0,T2_shortcut_masked,0.078,0.372,3.661190139770508
scratch_t2,44,0.0,T2_shortcut_normal,0.026,0.166,4.194575605392456
scratch_t2,44,1.0,T1_all,0.19475,0.51075,3.074138940811157
scratch_t2,44,1.0,T2_nonshortcut_normal,0.30266666666666664,0.622,2.6548917236328125
scratch_t2,44,1.0,T2_shortcut_masked,0.168,0.526,3.117820158004761
scratch_t2,44,1.0,T2_shortcut_normal,0.082,0.37,3.579572708129883
scratch_t2,44,2.0,T1_all,0.235,0.57375,2.8970256748199463
scratch_t2,44,2.0,T2_nonshortcut_normal,0.31666666666666665,0.6666666666666666,2.6247563381195067
scratch_t2,44,2.0,T2_shortcut_masked,0.15,0.384,3.479805202484131
scratch_t2,44,2.0,T2_shortcut_normal,0.088,0.244,3.907153913497925
scratch_t2,44,3.0,T1_all,0.24,0.58925,2.890498830795288
scratch_t2,44,3.0,T2_nonshortcut_normal,0.32133333333333336,0.662,2.513111124038696
scratch_t2,44,3.0,T2_shortcut_masked,0.324,0.726,2.366338846206665
scratch_t2,44,3.0,T2_shortcut_normal,0.21,0.538,3.0044900703430177
scratch_t2,44,4.0,T1_all,0.26825,0.624,2.7947355098724365
scratch_t2,44,4.0,T2_nonshortcut_normal,0.38666666666666666,0.6546666666666666,2.384945950190226
scratch_t2,44,4.0,T2_shortcut_masked,0.156,0.544,3.088439353942871
scratch_t2,44,4.0,T2_shortcut_normal,0.1,0.42,3.4600801677703856
scratch_t2,44,5.0,T1_all,0.2655,0.62575,2.83284774684906
scratch_t2,44,5.0,T2_nonshortcut_normal,0.2846666666666667,0.5913333333333334,3.108255578358968
scratch_t2,44,5.0,T2_shortcut_masked,0.14,0.498,3.5305745506286623
scratch_t2,44,5.0,T2_shortcut_normal,0.112,0.388,3.848928653717041
scratch_t2,44,6.0,T1_all,0.32575,0.68875,2.5065285482406616
scratch_t2,44,6.0,T2_nonshortcut_normal,0.48,0.7693333333333333,1.9527301947275797
scratch_t2,44,6.0,T2_shortcut_masked,0.312,0.676,2.477565626144409
scratch_t2,44,6.0,T2_shortcut_normal,0.232,0.522,3.040191921234131
scratch_t2,44,7.0,T1_all,0.352,0.706,2.3953358268737794
scratch_t2,44,7.0,T2_nonshortcut_normal,0.502,0.7966666666666666,1.858722451210022
scratch_t2,44,7.0,T2_shortcut_masked,0.118,0.436,3.5106410789489746
scratch_t2,44,7.0,T2_shortcut_normal,0.09,0.336,3.8644769706726074
scratch_t2,44,8.0,T1_all,0.37875,0.73375,2.2899112129211425
scratch_t2,44,8.0,T2_nonshortcut_normal,0.5206666666666667,0.8233333333333334,1.7718803154627483
scratch_t2,44,8.0,T2_shortcut_masked,0.37,0.716,2.3628481063842774
scratch_t2,44,8.0,T2_shortcut_normal,0.238,0.554,3.0017786598205567
scratch_t2,44,9.0,T1_all,0.36575,0.7195,2.3891988067626952
scratch_t2,44,9.0,T2_nonshortcut_normal,0.5133333333333333,0.8466666666666667,1.7460779078801474
scratch_t2,44,9.0,T2_shortcut_masked,0.362,0.72,2.4352081813812254
scratch_t2,44,9.0,T2_shortcut_normal,0.286,0.588,2.8863323402404784
scratch_t2,44,10.0,T1_all,0.39525,0.7395,2.332656622886658
scratch_t2,44,10.0,T2_nonshortcut_normal,0.48333333333333334,0.81,1.8974331661860149
scratch_t2,44,10.0,T2_shortcut_masked,0.332,0.712,2.4486076698303223
scratch_t2,44,10.0,T2_shortcut_normal,0.248,0.582,2.9145492153167725
scratch_t2,44,11.0,T1_all,0.398,0.746,2.2612580661773682
scratch_t2,44,11.0,T2_nonshortcut_normal,0.5293333333333333,0.8573333333333333,1.6063075024286906
scratch_t2,44,11.0,T2_shortcut_masked,0.356,0.74,2.3454703979492186
scratch_t2,44,11.0,T2_shortcut_normal,0.268,0.598,2.9356315212249755
scratch_t2,44,12.0,T1_all,0.4255,0.78175,2.1655078401565553
scratch_t2,44,12.0,T2_nonshortcut_normal,0.56,0.8433333333333334,1.6492345050175985
scratch_t2,44,12.0,T2_shortcut_masked,0.368,0.74,2.2999598331451416
scratch_t2,44,12.0,T2_shortcut_normal,0.304,0.624,2.819904859542847
scratch_t2,44,13.0,T1_all,0.427,0.75925,2.224608920097351
scratch_t2,44,13.0,T2_nonshortcut_normal,0.5553333333333333,0.8413333333333334,1.7034132515589395
scratch_t2,44,13.0,T2_shortcut_masked,0.296,0.682,2.6924035930633545
scratch_t2,44,13.0,T2_shortcut_normal,0.204,0.582,3.247159303665161
scratch_t2,44,14.0,T1_all,0.41925,0.7685,2.271241315841675
scratch_t2,44,14.0,T2_nonshortcut_normal,0.492,0.8033333333333333,1.9267367862065634
scratch_t2,44,14.0,T2_shortcut_masked,0.502,0.854,1.7395519981384278
scratch_t2,44,14.0,T2_shortcut_normal,0.418,0.746,2.256527374267578
scratch_t2,44,15.0,T1_all,0.456,0.79925,2.004299167633057
scratch_t2,44,15.0,T2_nonshortcut_normal,0.5493333333333333,0.8266666666666667,1.7200956071217854
scratch_t2,44,15.0,T2_shortcut_masked,0.404,0.734,2.289222864151001
scratch_t2,44,15.0,T2_shortcut_normal,0.322,0.612,2.8456149826049804
scratch_t2,44,16.0,T1_all,0.4155,0.75025,2.341019109725952
scratch_t2,44,16.0,T2_nonshortcut_normal,0.4553333333333333,0.7493333333333333,2.3057451413472494
scratch_t2,44,16.0,T2_shortcut_masked,0.284,0.6,3.195724962234497
scratch_t2,44,16.0,T2_shortcut_normal,0.228,0.516,3.5044584846496583
scratch_t2,44,17.0,T1_all,0.4415,0.7765,2.223149730682373
