method,seed,epoch_eff,split,acc
sgd,42,0.0,T1_all,0.20725
sgd,42,0.0,T1_all,0.42425
sgd,42,0.0,T2_nonshortcut_normal,0.3566666666666667
sgd,42,0.0,T2_nonshortcut_normal,0.5413333333333333
sgd,42,0.0,T2_shortcut_masked,0.014
sgd,42,0.0,T2_shortcut_masked,0.016
sgd,42,0.0,T2_shortcut_normal,0.36
sgd,42,0.0,T2_shortcut_normal,0.6
sgd,42,1.0,T1_all,0.17
sgd,42,1.0,T1_all,0.35725
sgd,42,1.0,T2_nonshortcut_normal,0.22333333333333333
sgd,42,1.0,T2_nonshortcut_normal,0.5366666666666666
sgd,42,1.0,T2_shortcut_masked,0.0
sgd,42,1.0,T2_shortcut_masked,0.012
sgd,42,1.0,T2_shortcut_normal,0.314
sgd,42,1.0,T2_shortcut_normal,0.576
sgd,42,2.0,T1_all,0.22025
sgd,42,2.0,T1_all,0.4165
sgd,42,2.0,T2_nonshortcut_normal,0.31466666666666665
sgd,42,2.0,T2_nonshortcut_normal,0.5386666666666666
sgd,42,2.0,T2_shortcut_masked,0.0
sgd,42,2.0,T2_shortcut_masked,0.014
sgd,42,2.0,T2_shortcut_normal,0.4
sgd,42,2.0,T2_shortcut_normal,0.534
sgd,42,3.0,T1_all,0.26625
sgd,42,3.0,T1_all,0.42
sgd,42,3.0,T2_nonshortcut_normal,0.37333333333333335
sgd,42,3.0,T2_nonshortcut_normal,0.55
sgd,42,3.0,T2_shortcut_masked,0.0
sgd,42,3.0,T2_shortcut_masked,0.032
sgd,42,3.0,T2_shortcut_normal,0.43
sgd,42,3.0,T2_shortcut_normal,0.592
sgd,42,4.0,T1_all,0.28925
sgd,42,4.0,T1_all,0.43875
sgd,42,4.0,T2_nonshortcut_normal,0.4013333333333333
sgd,42,4.0,T2_nonshortcut_normal,0.5493333333333333
sgd,42,4.0,T2_shortcut_masked,0.0
sgd,42,4.0,T2_shortcut_masked,0.024
sgd,42,4.0,T2_shortcut_normal,0.428
sgd,42,4.0,T2_shortcut_normal,0.588
sgd,42,5.0,T1_all,0.32225
sgd,42,5.0,T1_all,0.44075
sgd,42,5.0,T2_nonshortcut_normal,0.49
sgd,42,5.0,T2_nonshortcut_normal,0.558
sgd,42,5.0,T2_shortcut_masked,0.0
sgd,42,5.0,T2_shortcut_masked,0.028
sgd,42,5.0,T2_shortcut_normal,0.496
sgd,42,5.0,T2_shortcut_normal,0.602
sgd,42,6.0,T1_all,0.34875
sgd,42,6.0,T1_all,0.438
sgd,42,6.0,T2_nonshortcut_normal,0.43666666666666665
sgd,42,6.0,T2_nonshortcut_normal,0.5606666666666666
sgd,42,6.0,T2_shortcut_masked,0.0
sgd,42,6.0,T2_shortcut_masked,0.032
sgd,42,6.0,T2_shortcut_normal,0.452
sgd,42,6.0,T2_shortcut_normal,0.596
sgd,42,7.0,T1_all,0.33425
sgd,42,7.0,T1_all,0.439
sgd,42,7.0,T2_nonshortcut_normal,0.43266666666666664
sgd,42,7.0,T2_nonshortcut_normal,0.5646666666666667
sgd,42,7.0,T2_shortcut_masked,0.0
sgd,42,7.0,T2_shortcut_masked,0.034
sgd,42,7.0,T2_shortcut_normal,0.496
sgd,42,7.0,T2_shortcut_normal,0.588
sgd,42,8.0,T1_all,0.36925
sgd,42,8.0,T1_all,0.44025
sgd,42,8.0,T2_nonshortcut_normal,0.46066666666666667
sgd,42,8.0,T2_nonshortcut_normal,0.564
sgd,42,8.0,T2_shortcut_masked,0.006
sgd,42,8.0,T2_shortcut_masked,0.034
sgd,42,8.0,T2_shortcut_normal,0.512
sgd,42,8.0,T2_shortcut_normal,0.59
sgd,42,9.0,T1_all,0.36525
sgd,42,9.0,T1_all,0.44025
sgd,42,9.0,T2_nonshortcut_normal,0.44466666666666665
sgd,42,9.0,T2_nonshortcut_normal,0.564
sgd,42,9.0,T2_shortcut_masked,0.016
sgd,42,9.0,T2_shortcut_masked,0.034
sgd,42,9.0,T2_shortcut_normal,0.484
sgd,42,9.0,T2_shortcut_normal,0.59
sgd,42,10.0,T1_all,0.37225
sgd,42,10.0,T1_all,0.4395
sgd,42,10.0,T2_nonshortcut_normal,0.51
sgd,42,10.0,T2_nonshortcut_normal,0.564
sgd,42,10.0,T2_shortcut_masked,0.004
sgd,42,10.0,T2_shortcut_masked,0.034
sgd,42,10.0,T2_shortcut_normal,0.528
sgd,42,10.0,T2_shortcut_normal,0.59
sgd,42,11.0,T1_all,0.3345
sgd,42,11.0,T1_all,0.43975
sgd,42,11.0,T2_nonshortcut_normal,0.43666666666666665
sgd,42,11.0,T2_nonshortcut_normal,0.5653333333333334
sgd,42,11.0,T2_shortcut_masked,0.0
sgd,42,11.0,T2_shortcut_masked,0.036
sgd,42,11.0,T2_shortcut_normal,0.47
sgd,42,11.0,T2_shortcut_normal,0.592
sgd,42,12.0,T1_all,0.3595
sgd,42,12.0,T1_all,0.4395
sgd,42,12.0,T2_nonshortcut_normal,0.5026666666666667
sgd,42,12.0,T2_nonshortcut_normal,0.5653333333333334
sgd,42,12.0,T2_shortcut_masked,0.01
sgd,42,12.0,T2_shortcut_masked,0.036
sgd,42,12.0,T2_shortcut_normal,0.548
sgd,42,12.0,T2_shortcut_normal,0.59
sgd,42,13.0,T1_all,0.363
sgd,42,13.0,T1_all,0.43975
sgd,42,13.0,T2_nonshortcut_normal,0.48
sgd,42,13.0,T2_nonshortcut_normal,0.564
sgd,42,13.0,T2_shortcut_masked,0.002
sgd,42,13.0,T2_shortcut_masked,0.038
sgd,42,13.0,T2_shortcut_normal,0.552
sgd,42,13.0,T2_shortcut_normal,0.59
sgd,42,14.0,T1_all,0.391
sgd,42,14.0,T1_all,0.44
sgd,42,14.0,T2_nonshortcut_normal,0.454
sgd,42,14.0,T2_nonshortcut_normal,0.5646666666666667
sgd,42,14.0,T2_shortcut_masked,0.016
sgd,42,14.0,T2_shortcut_masked,0.038
sgd,42,14.0,T2_shortcut_normal,0.544
sgd,42,14.0,T2_shortcut_normal,0.592
sgd,42,15.0,T1_all,0.391
sgd,42,15.0,T1_all,0.439
sgd,42,15.0,T2_nonshortcut_normal,0.5013333333333333
sgd,42,15.0,T2_nonshortcut_normal,0.5646666666666667
sgd,42,15.0,T2_shortcut_masked,0.028
sgd,42,15.0,T2_shortcut_masked,0.038
sgd,42,15.0,T2_shortcut_normal,0.522
sgd,42,15.0,T2_shortcut_normal,0.59
sgd,42,16.0,T1_all,0.3485
sgd,42,16.0,T1_all,0.43825
sgd,42,16.0,T2_nonshortcut_normal,0.5273333333333333
sgd,42,16.0,T2_nonshortcut_normal,0.566
sgd,42,16.0,T2_shortcut_masked,0.014
sgd,42,16.0,T2_shortcut_masked,0.038
sgd,42,16.0,T2_shortcut_normal,0.536
sgd,42,16.0,T2_shortcut_normal,0.594
sgd,42,17.0,T1_all,0.37575
sgd,42,17.0,T1_all,0.43825
sgd,42,17.0,T2_nonshortcut_normal,0.5146666666666667
sgd,42,17.0,T2_nonshortcut_normal,0.566
sgd,42,17.0,T2_shortcut_masked,0.028
sgd,42,17.0,T2_shortcut_masked,0.038
sgd,42,17.0,T2_shortcut_normal,0.576
sgd,42,17.0,T2_shortcut_normal,0.592
sgd,42,18.0,T1_all,0.389
sgd,42,18.0,T1_all,0.43825
sgd,42,18.0,T2_nonshortcut_normal,0.5093333333333333
sgd,42,18.0,T2_nonshortcut_normal,0.566
sgd,42,18.0,T2_shortcut_masked,0.014
sgd,42,18.0,T2_shortcut_masked,0.038
sgd,42,18.0,T2_shortcut_normal,0.55
sgd,42,18.0,T2_shortcut_normal,0.594
sgd,42,19.0,T1_all,0.28475
sgd,42,19.0,T1_all,0.43925
sgd,42,19.0,T2_nonshortcut_normal,0.4826666666666667
sgd,42,19.0,T2_nonshortcut_normal,0.5646666666666667
sgd,42,19.0,T2_shortcut_masked,0.02
sgd,42,19.0,T2_shortcut_masked,0.038
sgd,42,19.0,T2_shortcut_normal,0.508
sgd,42,19.0,T2_shortcut_normal,0.594
sgd,42,20.0,T1_all,0.394
sgd,42,20.0,T1_all,0.43925
sgd,42,20.0,T2_nonshortcut_normal,0.5233333333333333
sgd,42,20.0,T2_nonshortcut_normal,0.5633333333333334
sgd,42,20.0,T2_shortcut_masked,0.018
sgd,42,20.0,T2_shortcut_masked,0.038
sgd,42,20.0,T2_shortcut_normal,0.564
sgd,42,20.0,T2_shortcut_normal,0.596
sgd,42,21.0,T1_all,0.3975
sgd,42,21.0,T1_all,0.43925
sgd,42,21.0,T2_nonshortcut_normal,0.5286666666666666
sgd,42,21.0,T2_nonshortcut_normal,0.564
sgd,42,21.0,T2_shortcut_masked,0.008
sgd,42,21.0,T2_shortcut_masked,0.038
sgd,42,21.0,T2_shortcut_normal,0.588
sgd,42,21.0,T2_shortcut_normal,0.596
sgd,42,22.0,T1_all,0.38125
sgd,42,22.0,T1_all,0.43925
