method,seed,epoch_eff,split,acc,top5,loss
sgd,42,0.0,T1_all,0.1975,0.521,3.030942506790161
sgd,42,0.0,T1_all,0.462,0.79125,1.9370186395645141
sgd,42,0.0,T2_nonshortcut_normal,0.3566666666666667,0.6826666666666666,2.45649973932902
sgd,42,0.0,T2_nonshortcut_normal,0.5646666666666667,0.8453333333333334,1.5528149738311767
sgd,42,0.0,T2_shortcut_masked,0.236,0.548,3.0744352798461914
sgd,42,0.0,T2_shortcut_masked,0.382,0.74,2.2585408153533937
sgd,42,0.0,T2_shortcut_normal,0.136,0.408,3.5349559593200683
sgd,42,0.0,T2_shortcut_normal,0.236,0.538,3.043239803314209
sgd,42,1.0,T1_all,0.16875,0.48575,3.2289510555267333
sgd,42,1.0,T1_all,0.3845,0.74125,2.2562143335342406
sgd,42,1.0,T2_nonshortcut_normal,0.274,0.6986666666666667,2.7589258416493734
sgd,42,1.0,T2_nonshortcut_normal,0.47933333333333333,0.8193333333333334,1.8795611953735352
sgd,42,1.0,T2_shortcut_masked,0.048,0.236,3.965347713470459
sgd,42,1.0,T2_shortcut_masked,0.202,0.538,3.245863342285156
sgd,42,1.0,T2_shortcut_normal,0.016,0.1,4.454659931182861
sgd,42,1.0,T2_shortcut_normal,0.102,0.366,3.8087403373718263
sgd,42,2.0,T1_all,0.22175,0.552,2.970672855377197
sgd,42,2.0,T1_all,0.46025,0.7885,1.9522603178024291
sgd,42,2.0,T2_nonshortcut_normal,0.38,0.7233333333333334,2.2723303442001344
sgd,42,2.0,T2_nonshortcut_normal,0.5986666666666667,0.8633333333333333,1.4757869933446248
sgd,42,2.0,T2_shortcut_masked,0.136,0.518,3.0871660499572755
sgd,42,2.0,T2_shortcut_masked,0.228,0.576,2.922618663787842
sgd,42,2.0,T2_shortcut_normal,0.122,0.414,3.3544202213287355
sgd,42,2.0,T2_shortcut_normal,0.086,0.352,3.830713914871216
sgd,42,3.0,T1_all,0.31925,0.65575,2.5527286911010743
sgd,42,3.0,T1_all,0.43775,0.77875,2.093303102493286
sgd,42,3.0,T2_nonshortcut_normal,0.4146666666666667,0.7473333333333333,2.1503845621744793
sgd,42,3.0,T2_nonshortcut_normal,0.5593333333333333,0.848,1.591674699783325
