method,seed,epoch_eff,split,acc
Scratch_T2,42,0.0,T2_shortcut_normal,0.10
Scratch_T2,42,1.0,T2_shortcut_normal,0.25
Scratch_T2,42,2.0,T2_shortcut_normal,0.45
Scratch_T2,42,3.0,T2_shortcut_normal,0.65
Scratch_T2,42,4.0,T2_shortcut_normal,0.80
Scratch_T2,42,0.0,T2_shortcut_masked,0.05
Scratch_T2,42,1.0,T2_shortcut_masked,0.08
Scratch_T2,42,2.0,T2_shortcut_masked,0.12
Scratch_T2,42,3.0,T2_shortcut_masked,0.15
Scratch_T2,42,4.0,T2_shortcut_masked,0.18
sgd,42,0.0,T2_shortcut_normal,0.20
sgd,42,1.0,T2_shortcut_normal,0.30
sgd,42,2.0,T2_shortcut_normal,0.40
sgd,42,3.0,T2_shortcut_normal,0.50
sgd,42,4.0,T2_shortcut_normal,0.58
sgd,42,0.0,T2_shortcut_masked,0.10
sgd,42,1.0,T2_shortcut_masked,0.15
sgd,42,2.0,T2_shortcut_masked,0.20
sgd,42,3.0,T2_shortcut_masked,0.25
sgd,42,4.0,T2_shortcut_masked,0.28
ewc_on,42,0.0,T2_shortcut_normal,0.18
ewc_on,42,1.0,T2_shortcut_normal,0.28
ewc_on,42,2.0,T2_shortcut_normal,0.38
ewc_on,42,3.0,T2_shortcut_normal,0.48
ewc_on,42,4.0,T2_shortcut_normal,0.55
ewc_on,42,0.0,T2_shortcut_masked,0.12
ewc_on,42,1.0,T2_shortcut_masked,0.17
ewc_on,42,2.0,T2_shortcut_masked,0.22
ewc_on,42,3.0,T2_shortcut_masked,0.27
ewc_on,42,4.0,T2_shortcut_masked,0.30
