method,seed,epoch_eff,split,acc
Scratch_T2,43,0.0,T2_shortcut_normal,0.12
Scratch_T2,43,1.0,T2_shortcut_normal,0.27
Scratch_T2,43,2.0,T2_shortcut_normal,0.47
Scratch_T2,43,3.0,T2_shortcut_normal,0.67
Scratch_T2,43,4.0,T2_shortcut_normal,0.82
Scratch_T2,43,0.0,T2_shortcut_masked,0.06
Scratch_T2,43,1.0,T2_shortcut_masked,0.09
Scratch_T2,43,2.0,T2_shortcut_masked,0.13
Scratch_T2,43,3.0,T2_shortcut_masked,0.16
Scratch_T2,43,4.0,T2_shortcut_masked,0.19
sgd,43,0.0,T2_shortcut_normal,0.22
sgd,43,1.0,T2_shortcut_normal,0.32
sgd,43,2.0,T2_shortcut_normal,0.42
sgd,43,3.0,T2_shortcut_normal,0.52
sgd,43,4.0,T2_shortcut_normal,0.60
sgd,43,0.0,T2_shortcut_masked,0.11
sgd,43,1.0,T2_shortcut_masked,0.16
sgd,43,2.0,T2_shortcut_masked,0.21
sgd,43,3.0,T2_shortcut_masked,0.26
sgd,43,4.0,T2_shortcut_masked,0.29
derpp,43,0.0,T2_shortcut_normal,0.19
derpp,43,1.0,T2_shortcut_normal,0.29
derpp,43,2.0,T2_shortcut_normal,0.39
derpp,43,3.0,T2_shortcut_normal,0.49
derpp,43,4.0,T2_shortcut_normal,0.57
derpp,43,0.0,T2_shortcut_masked,0.13
derpp,43,1.0,T2_shortcut_masked,0.18
derpp,43,2.0,T2_shortcut_masked,0.23
derpp,43,3.0,T2_shortcut_masked,0.28
derpp,43,4.0,T2_shortcut_masked,0.31
